timestamps,TP9,AF7,AF8,TP10,Marker0
1614036664.456,667.969,666.016,-705.078,-707.031,Default
1614036664.460,945.801,979.492,-632.812,-1000.000,Default
1614036664.463,-756.348,-661.133,-555.176,647.949,Default
1614036664.467,-1000.000,-1000.000,-456.543,-896.973,Default
1614036664.471,509.277,312.500,-626.953,-512.207,Default
1614036664.475,976.562,991.211,-648.438,-1000.000,Default
1614036664.479,-604.004,-532.715,-533.203,378.906,Default
1614036664.483,-1000.000,-1000.000,-273.926,-792.480,Default
1614036664.487,-238.770,-547.363,-562.988,170.898,Default
1614036664.491,-987.793,910.645,-701.172,-1000.000,Default
1614036664.495,-167.969,38.086,-567.871,-402.344,Default
1614036664.499,-1000.000,-1000.000,-440.430,-951.172,Default
1614036664.503,-829.102,-895.996,-583.008,852.539,Default
1614036664.506,749.512,673.828,-669.922,-786.621,Default
1614036664.510,728.027,815.918,-548.828,-978.027,Default
1614036664.514,-1000.000,-921.875,-480.957,758.301,0
1614036664.518,-985.352,-1000.000,-583.984,-995.117,0
1614036664.522,668.457,608.398,-649.902,-714.844,Default
1614036664.526,993.652,982.910,-526.855,-1000.000,0
1614036664.530,-665.527,-636.230,-551.758,647.461,0
1614036664.534,-1000.000,-1000.000,-487.793,-873.047,0
1614036664.538,379.395,79.590,-623.047,-402.344,0
1614036664.542,634.766,628.906,-665.039,-796.875,Default
1614036664.545,-696.777,-578.613,-573.730,398.926,0
1614036664.549,-1000.000,-1000.000,-447.266,-863.281,0
1614036664.553,-571.289,-711.426,-603.027,494.629,0
1614036664.557,946.289,867.188,-666.992,-1000.000,0
1614036664.561,88.867,316.895,-617.188,-689.453,Default
1614036664.565,-1000.000,-1000.000,-471.191,945.801,0
1614036664.569,-909.668,-931.641,-566.895,957.031,0
1614036664.573,667.969,665.527,-665.527,-692.871,0
1614036664.577,820.312,903.320,-612.793,-1000.000,0
1614036664.581,-937.012,-805.664,-548.828,679.199,Default
1614036664.585,-1000.000,-1000.000,-513.184,-983.887,0
1614036664.588,668.945,505.859,-654.785,-716.309,0
1614036664.592,973.633,977.051,-645.996,-1000.000,0
1614036664.596,-628.418,-603.027,-568.848,559.082,0
1614036664.600,-1000.000,-1000.000,-383.789,-981.445,0
1614036664.604,147.949,-200.684,-576.172,-240.723,Default
1614036664.608,-986.816,986.328,-687.500,-1000.000,0
1614036664.612,-374.023,-245.605,-598.145,-45.410,0
1614036664.616,-1000.000,-1000.000,-305.664,-834.961,0
1614036664.620,-658.203,-787.598,-507.812,668.945,0
1614036664.624,885.254,777.832,-719.727,-939.453,Default
1614036664.628,310.059,566.895,-597.656,-804.199,0
1614036664.631,-1000.000,-1000.000,-440.918,896.484,0
1614036664.635,-929.688,-961.914,-577.637,971.680,0
1614036664.639,659.180,664.551,-717.285,-701.172,0
1614036664.643,924.316,971.191,-603.027,-1000.000,0
1614036664.647,-806.641,-702.637,-545.410,673.828,Default
1614036664.651,-1000.000,-1000.000,-501.953,-943.359,0
1614036664.655,547.852,397.949,-648.438,-594.238,0
1614036664.659,689.453,695.801,-631.836,-828.613,0
1614036664.663,-731.934,-689.453,-519.043,533.203,0
1614036664.667,-1000.000,-1000.000,-395.508,-846.191,Default
1614036664.670,-161.133,-480.957,-608.887,115.234,0
1614036664.674,-978.516,947.266,-647.949,-1000.000,0
1614036664.678,-260.742,-58.105,-481.445,-261.230,0
1614036664.682,-1000.000,-1000.000,-433.105,-895.020,0
1614036664.686,-750.000,-875.000,-627.930,775.391,0
1614036664.690,824.219,693.359,-668.945,-850.098,0
1614036664.694,587.402,759.766,-574.219,-929.688,0
1614036664.698,-1000.000,-967.773,-506.348,795.898,Default
1614036664.702,-963.379,-1000.000,-589.844,996.094,0
1614036664.706,657.227,633.301,-625.488,-712.891,0
1614036664.710,999.512,986.328,-560.547,-1000.000,0
1614036664.713,-655.762,-628.906,-604.004,630.859,Default
1614036664.717,-1000.000,-1000.000,-528.809,-857.422,0
1614036664.721,415.527,158.203,-547.852,-391.113,0
1614036664.725,975.586,-998.047,-597.656,-1000.000,0
1614036664.729,-595.215,-455.078,-631.836,268.555,0
1614036664.733,-1000.000,-1000.000,-496.094,-790.527,0
1614036664.737,-362.305,-646.973,-624.512,462.891,Default
1614036664.741,998.535,874.512,-679.688,-1000.000,0
1614036664.745,-17.090,228.516,-606.445,-655.273,0
1614036664.749,-1000.000,-1000.000,-450.684,963.379,0
1614036664.752,-895.020,-921.387,-584.961,945.312,0
1614036664.756,674.316,663.086,-655.762,-697.266,0
1614036664.760,820.801,885.742,-578.613,-1000.000,Default
1614036664.764,-945.312,-843.262,-487.793,683.105,0
1614036664.768,-998.535,-1000.000,-392.090,-987.793,0
1614036664.772,674.316,547.852,-640.137,-714.844,0
1614036664.776,888.184,878.906,-639.160,-928.711,0
1614036664.780,-676.758,-642.578,-550.781,629.883,Default
1614036664.784,-1000.000,-1000.000,-471.680,-843.262,0
1614036664.788,280.762,-128.418,-623.047,-195.312,0
1614036664.792,-952.637,999.512,-671.387,-1000.000,0
1614036664.795,-450.684,-298.828,-506.836,42.969,0
1614036664.799,-1000.000,-1000.000,-349.609,-825.684,Default
1614036664.803,-638.184,-753.418,-599.609,663.574,0
1614036664.807,900.391,807.617,-665.039,-933.594,0
1614036664.811,305.176,496.094,-510.742,-797.852,0
1614036664.815,-1000.000,-1000.000,-440.918,902.832,0
1614036664.819,-933.105,-953.125,-623.047,970.215,0
1614036664.823,673.340,668.945,-694.336,-706.055,Default
1614036664.827,880.859,948.730,-590.820,-1000.000,0
1614036664.831,-849.121,-721.191,-557.129,657.715,0
1614036664.835,-979.004,-1000.000,-555.176,974.121,0
1614036664.838,630.859,473.145,-637.695,-629.395,Default
1614036664.842,964.355,956.543,-613.281,-1000.000,0
1614036664.846,-610.352,-585.449,-587.402,456.543,0
1614036664.850,-1000.000,-1000.000,-437.500,-794.434,0
1614036664.854,-23.926,-376.465,-577.148,83.984,0
1614036664.858,-958.008,958.496,-595.215,-1000.000,0
1614036664.862,-283.203,-129.883,-575.684,-234.375,Default
1614036664.866,-1000.000,-1000.000,-487.305,-882.324,0
1614036664.870,-742.676,-841.309,-598.633,768.066,0
1614036664.874,823.242,716.797,-673.828,-854.492,0
1614036664.877,423.340,615.234,-605.957,-797.852,0
1614036664.881,-1000.000,-1000.000,-478.027,865.723,0
1614036664.885,-941.895,-978.027,-514.648,972.656,Default
1614036664.889,660.645,649.414,-660.156,-702.148,0
1614036664.893,947.266,985.352,-617.676,-1000.000,0
1614036664.897,-750.488,-648.926,-540.039,635.742,0
1614036664.901,-1000.000,-1000.000,-374.023,-867.676,0
1614036664.905,483.887,269.531,-580.566,-432.617,0
1614036664.909,972.168,997.070,-672.852,-1000.000,0
1614036664.913,-596.191,-509.766,-572.266,323.242,0
1614036664.917,-1000.000,-1000.000,-412.109,-784.668,Default
1614036664.920,-349.609,-576.172,-611.328,362.305,0
1614036664.924,979.980,906.738,-681.641,-1000.000,0
1614036664.928,-135.742,110.840,-574.219,-491.211,0
1614036664.932,-1000.000,-1000.000,-454.102,-960.449,0
1614036664.936,-827.637,-906.738,-608.398,868.652,Default
1614036664.940,750.000,669.434,-695.801,-778.320,0
1614036664.944,728.027,840.820,-560.059,-982.422,0
1614036664.948,-1000.000,-894.043,-484.863,754.883,0
1614036664.952,-985.352,-1000.000,-567.871,-994.141,Default
1614036664.956,669.922,589.844,-667.969,-717.285,Default
1614036664.959,989.258,982.422,-589.355,-1000.000,Default
1614036664.963,-641.602,-618.164,-555.176,619.141,Default
1614036664.967,-1000.000,-1000.000,-473.633,-833.984,Default
1614036664.971,298.340,16.602,-622.070,-291.016,Default
1614036664.975,-978.027,-991.211,-616.211,-1000.000,Default
1614036664.979,-493.652,-368.164,-575.195,177.246,Default
1614036664.983,-1000.000,-1000.000,-514.648,-791.016,Default
1614036664.987,-559.570,-699.707,-627.930,577.148,Default
1614036664.991,928.711,847.656,-596.191,-993.652,Default
1614036664.995,92.773,369.141,-546.387,-708.984,Default
1614036664.999,-1000.000,-1000.000,-496.094,963.867,Default
1614036665.002,-897.461,-927.734,-604.492,944.336,Default
1614036665.006,663.574,666.992,-623.535,-695.801,Default
1614036665.010,653.320,720.215,-570.801,-849.609,Default
1614036665.014,-968.750,-860.840,-543.945,738.281,Default
1614036665.018,-1000.000,-1000.000,-486.328,-969.238,Default
1614036665.022,591.797,472.656,-626.465,-614.258,Default
1614036665.026,989.258,981.934,-633.789,-1000.000,Default
1614036665.030,-623.047,-600.586,-591.309,530.762,Default
1614036665.034,-1000.000,-1000.000,-479.004,-803.711,Default
1614036665.038,78.613,-245.605,-605.957,-56.641,Default
1614036665.042,-972.168,984.375,-642.578,-1000.000,Default
1614036665.045,-380.859,-220.703,-596.680,-47.363,Default
1614036665.049,-1000.000,-1000.000,-420.898,-833.008,Default
1614036665.053,-663.574,-802.734,-538.086,678.223,Default
1614036665.057,888.184,764.160,-684.570,-925.293,Default
1614036665.061,401.367,625.488,-599.609,-829.590,Default
1614036665.065,-1000.000,-1000.000,-428.711,875.977,Default
1614036665.069,-942.383,-970.703,-536.133,977.051,Default
1614036665.073,660.156,666.992,-664.551,-709.961,Default
1614036665.077,947.754,978.027,-608.887,-1000.000,Default
1614036665.081,-756.348,-673.828,-472.656,643.555,Default
1614036665.084,-1000.000,-1000.000,-328.613,-989.258,Default
1614036665.088,508.789,364.258,-604.004,-540.039,Default
1614036665.092,981.445,986.328,-642.090,-1000.000,Default
1614036665.096,-607.422,-556.152,-502.441,394.043,Default
1614036665.100,-1000.000,-1000.000,-426.270,-784.668,Default
1614036665.104,-139.648,-506.348,-656.250,163.574,Default
1614036665.108,-982.422,922.363,-662.598,-1000.000,Default
1614036665.112,-250.000,-20.996,-584.473,-310.059,Default
1614036665.116,-1000.000,-1000.000,-484.375,-911.133,Default
1614036665.120,-766.602,-880.371,-617.676,807.129,Default
1614036665.124,810.547,683.594,-666.992,-814.453,Default
1614036665.127,714.844,812.012,-574.707,-966.309,Default
1614036665.131,-998.535,-931.152,-478.027,764.160,Default
1614036665.135,-985.352,-1000.000,-536.133,-996.582,Default
1614036665.139,667.480,635.742,-643.066,-714.355,Default
1614036665.143,997.070,983.398,-506.348,-1000.000,Default
1614036665.147,-655.762,-626.465,-561.035,635.742,Default
1614036665.151,-1000.000,-1000.000,-541.504,-861.816,Default
1614036665.155,415.527,129.883,-629.883,-392.090,Default
1614036665.159,971.680,-1000.000,-638.672,-1000.000,Default
1614036665.163,-591.797,-444.824,-583.984,318.848,Default
1614036665.166,-1000.000,-1000.000,-476.562,-800.293,Default
1614036665.170,-451.660,-651.855,-582.031,491.699,Default
1614036665.174,962.402,865.234,-644.531,-1000.000,Default
1614036665.178,-45.410,147.949,-569.824,-531.250,Default
1614036665.182,-1000.000,-1000.000,-427.246,-986.328,Default
1614036665.186,-888.184,-907.227,-515.625,919.922,Default
1614036665.190,665.527,655.273,-634.277,-691.895,Default
1614036665.194,823.242,893.555,-613.770,-1000.000,Default
1614036665.198,-939.941,-829.590,-524.902,677.734,Default
1614036665.202,-1000.000,-1000.000,-462.891,-979.980,Default
1614036665.206,676.270,539.551,-636.230,-720.215,Default
1614036665.209,987.793,978.516,-638.184,-1000.000,Default
1614036665.213,-647.461,-612.305,-570.312,613.770,Default
1614036665.217,-1000.000,-1000.000,-454.590,-830.566,Default
1614036665.221,276.855,-143.066,-615.234,-196.777,Default
1614036665.225,953.613,894.531,-640.137,-1000.000,Default
1614036665.229,-465.820,-320.801,-539.551,59.570,Default
1614036665.233,-1000.000,-1000.000,-337.402,-831.055,Default
1614036665.237,-668.457,-770.020,-591.309,669.434,Default
1614036665.241,886.719,803.223,-707.031,-931.641,Default
1614036665.245,309.570,514.160,-565.430,-798.828,Default
1614036665.249,-1000.000,-1000.000,-454.590,903.320,Default
1614036665.252,-932.617,-955.078,-592.285,970.215,Default
1614036665.256,667.969,663.574,-678.223,-700.684,Default
1614036665.260,887.207,959.473,-537.109,-1000.000,Default
1614036665.264,-851.074,-711.914,-512.207,659.668,Default
1614036665.268,-1000.000,-1000.000,-558.594,-926.758,Default
1614036665.272,597.656,421.875,-647.461,-599.121,Default
1614036665.276,976.562,974.609,-543.457,-1000.000,Default
1614036665.280,-613.281,-587.891,-559.570,472.168,Default
1614036665.284,-1000.000,-1000.000,-511.230,-796.387,Default
1614036665.288,-88.379,-396.973,-626.953,81.055,Default
1614036665.291,-972.656,952.637,-668.945,-1000.000,Default
1614036665.295,-267.090,-116.211,-598.145,-208.008,Default
1614036665.299,-1000.000,-1000.000,-470.215,-878.418,Default
1614036665.303,-748.047,-850.586,-599.609,759.277,Default
1614036665.307,825.195,715.820,-660.156,-864.746,Default
1614036665.311,522.949,720.703,-576.660,-895.508,Default
1614036665.315,-1000.000,-994.141,-476.562,831.055,Default
1614036665.319,-958.008,-995.117,-532.715,988.770,Default
1614036665.323,669.434,659.180,-585.938,-708.008,Default
1614036665.327,940.918,980.469,-590.820,-1000.000,Default
1614036665.331,-746.094,-649.414,-587.891,645.508,Default
1614036665.334,-1000.000,-1000.000,-471.191,-889.648,Default
1614036665.338,453.613,258.301,-633.301,-506.348,Default
1614036665.342,973.633,992.188,-659.668,-1000.000,Default
1614036665.346,-595.703,-513.184,-589.844,397.461,Default
1614036665.350,-1000.000,-1000.000,-377.930,-791.016,Default
1614036665.354,-338.379,-577.148,-568.359,238.770,Default
1614036665.358,983.887,904.785,-698.242,-1000.000,Default
1614036665.362,-137.207,102.539,-588.379,-424.316,Default
1614036665.366,-1000.000,-1000.000,-354.004,-950.195,Default
1614036665.370,-828.125,-907.227,-515.625,854.004,Default
1614036665.373,750.488,668.457,-700.684,-786.621,Default
1614036665.377,728.027,836.914,-609.375,-978.027,Default
1614036665.381,-1000.000,-896.973,-399.902,758.301,Default
1614036665.385,-985.840,-1000.000,-438.477,-995.117,Default
1614036665.389,669.922,586.426,-696.289,-715.332,Default
1614036665.393,988.770,982.422,-614.258,-1000.000,Default
1614036665.397,-641.602,-617.188,-481.934,629.883,Default
1614036665.401,-1000.000,-1000.000,-439.941,-855.957,Default
1614036665.405,298.340,10.254,-649.414,-365.723,Default
1614036665.409,-978.027,-994.141,-656.738,-1000.000,Default
1614036665.413,-493.652,-370.605,-562.012,212.891,Default
1614036665.416,-1000.000,-1000.000,-413.086,-792.969,Default
1614036665.420,-559.570,-707.031,-616.699,501.465,Default
1614036665.424,928.711,839.355,-667.480,-1000.000,Default
1614036665.428,92.285,361.328,-498.535,-695.801,Default
1614036665.432,-1000.000,-1000.000,-425.293,949.219,Default
