timestamps,TP9,AF7,AF8,TP10,Marker0
-0.013,649.902,283.203,-526.367,-395.020,0
-0.009,-940.918,963.867,-599.609,-1000.000,0
-0.005,-580.078,-576.172,-643.555,385.254,0
-0.001,-1000.000,-1000.000,-480.469,-774.902,0
0.002,324.707,-541.992,-508.301,356.445,0
0.006,-818.848,869.629,-585.938,-1000.000,0
0.010,-15.625,-145.996,-636.230,-292.480,0
0.014,-1000.000,-1000.000,-452.148,-905.273,0
0.018,-581.055,-880.859,-523.438,888.184,0
0.022,979.980,674.316,-619.141,-727.539,0
0.026,779.297,676.758,-630.371,-916.504,0
0.030,-882.324,-1000.000,-538.086,834.961,0
0.034,-915.039,-918.457,-391.113,890.625,0
0.038,703.125,644.043,-542.969,-747.559,0
0.042,-998.047,963.867,-644.043,-1000.000,0
0.045,-706.055,-631.348,-546.875,605.957,0
0.049,-1000.000,-1000.000,-266.113,-818.359,0
0.053,651.367,202.637,-500.488,-296.875,0
0.057,-911.621,979.004,-641.602,-1000.000,0
0.061,-463.379,-537.109,-590.332,287.598,0
0.065,-1000.000,-1000.000,-447.266,-781.738,0
0.069,117.676,-651.855,-570.312,568.848,0
0.073,-823.242,833.496,-645.996,-986.328,0
0.077,200.684,29.785,-574.707,-520.996,0
0.081,-1000.000,-1000.000,-442.871,-953.125,0
0.085,-725.098,-888.184,-568.848,917.480,0
0.088,889.648,669.434,-625.000,-699.707,0
0.092,685.059,596.680,-548.828,-789.551,0
0.096,-897.461,-998.535,-539.551,817.871,0
0.100,-995.117,-1000.000,-534.668,-970.703,0
0.104,659.668,513.672,-590.332,-616.211,0
0.108,-983.398,985.840,-534.180,-1000.000,0
0.112,-698.242,-604.980,-598.633,596.191,0
0.116,-1000.000,-1000.000,-499.512,-798.828,0
0.120,547.852,-104.492,-550.293,-77.637,0
0.124,-868.652,941.895,-625.000,-1000.000,0
0.127,-354.004,-411.133,-645.020,153.809,0
0.131,-1000.000,-1000.000,-476.562,-790.527,0
0.135,-48.340,-738.770,-543.945,659.180,0
0.139,-846.191,787.598,-616.699,-927.734,0
0.143,412.109,250.000,-610.352,-728.027,0
0.147,-1000.000,-1000.000,-477.539,960.938,0
0.151,-827.148,-921.875,-501.465,953.613,0
0.155,828.125,670.410,-586.914,-696.777,0
0.159,942.871,858.887,-612.793,-1000.000,0
0.163,-768.066,-836.914,-626.465,641.602,0
0.167,-1000.000,-1000.000,-465.820,-877.441,0
0.170,680.176,441.895,-479.492,-535.645,0
0.174,-995.605,973.633,-624.023,-1000.000,0
0.178,-682.617,-590.820,-645.508,545.410,0
0.182,-1000.000,-1000.000,-395.020,-786.621,0
0.186,440.430,-326.172,-547.363,141.113,0
0.190,-837.402,915.527,-650.391,-1000.000,0
0.194,-238.770,-292.969,-610.352,-59.082,0
0.198,-1000.000,-1000.000,-373.047,-832.031,0
0.202,-237.305,-817.871,-493.164,753.418,0
0.206,-893.555,725.098,-651.367,-855.957,0
0.210,621.582,456.543,-604.492,-824.707,0
0.213,-979.004,-1000.000,-481.445,902.832,0
0.217,-918.945,-946.777,-555.176,971.191,0
0.221,756.836,670.410,-642.578,-706.055,0
0.225,-997.070,919.434,-587.402,-1000.000,0
0.229,-708.984,-744.141,-594.238,625.977,0
0.233,-1000.000,-1000.000,-489.746,-842.285,0
0.237,665.527,345.703,-563.965,-423.828,0
0.241,-946.289,966.797,-593.750,-1000.000,0
0.245,-580.078,-581.055,-523.926,450.195,0
0.249,-1000.000,-1000.000,-427.734,-777.832,0
0.252,324.707,-505.371,-579.102,352.539,0
0.256,-813.477,879.883,-602.539,-1000.000,0
0.260,-20.996,-175.781,-621.582,-262.695,0
0.264,-1000.000,-1000.000,-486.816,-882.324,0
0.268,-458.496,-872.070,-533.691,837.891,0
0.272,-962.891,677.246,-565.430,-779.297,0
0.276,727.051,654.785,-590.820,-913.574,0
0.280,-913.086,-1000.000,-556.641,835.449,0
0.284,-996.582,-1000.000,-558.594,989.258,0
0.288,683.105,625.000,-540.527,-713.379,0
0.292,-984.375,970.703,-550.781,-1000.000,0
0.295,-713.867,-649.414,-649.902,612.305,0
0.299,-1000.000,-1000.000,-471.680,-815.918,0
0.303,650.391,178.223,-478.027,-307.617,0
0.307,-905.762,950.195,-602.539,-1000.000,0
0.311,-472.656,-544.922,-639.648,346.680,0
0.315,-1000.000,-1000.000,-461.914,-780.762,0
0.319,207.031,-622.070,-554.199,557.617,0
