timestamps,TP9,AF7,AF8,TP10,Marker0
0.009,-449.219,-543.457,-568.848,23.438,0
0.013,-1000.000,-1000.000,-506.836,-767.090,0
0.017,264.160,-164.062,-539.062,202.148,0
0.021,-772.461,-839.355,-640.137,-1000.000,0
0.025,113.281,80.078,-562.988,-270.996,0
0.029,-1000.000,-1000.000,-487.305,-802.734,0
0.033,-256.348,-274.902,-490.234,337.891,0
0.037,-801.270,-833.008,-622.070,-1000.000,0
0.041,229.492,244.629,-651.855,-475.098,0
0.044,-1000.000,-1000.000,-462.891,-927.246,0
0.048,-271.973,-708.984,-397.461,766.602,0
0.052,-830.078,939.453,-641.113,-832.031,0
0.056,616.699,556.641,-706.055,-949.707,0
0.060,-1000.000,-976.074,-524.902,571.289,0
0.064,-672.363,-1000.000,-496.582,-824.219,0
0.068,895.020,197.754,-625.977,-103.027,0
0.072,-899.902,-910.156,-701.172,-1000.000,0
0.076,-253.418,-338.867,-523.926,-63.477,0
0.080,-1000.000,-1000.000,-509.766,-774.902,0
0.084,131.836,-213.379,-553.223,210.449,0
0.087,-760.254,-836.426,-583.008,-1000.000,0
0.091,192.383,197.266,-511.719,-273.926,0
0.095,-1000.000,-1000.000,-545.410,-809.082,0
0.099,-272.461,-373.535,-536.133,436.035,0
0.103,-798.828,-856.445,-602.051,-1000.000,0
0.107,333.008,246.582,-612.793,-573.730,0
0.111,-1000.000,-1000.000,-553.711,-999.512,0
0.115,-378.418,-849.121,-500.977,895.996,0
0.119,-887.695,760.254,-596.191,-641.113,0
0.123,759.277,674.316,-677.734,-1000.000,0
0.127,-854.004,-897.949,-547.363,385.254,0
0.131,-842.285,-1000.000,-508.789,-785.156,0
0.134,719.238,60.547,-522.949,56.641,0
0.138,-842.773,-844.727,-620.117,-1000.000,0
0.142,-160.645,-197.266,-576.172,-166.016,0
0.146,-1000.000,-1000.000,-528.809,-843.750,0
0.150,83.496,-133.301,-452.637,133.301,0
0.154,-779.297,-841.309,-549.805,-1000.000,0
0.158,204.102,244.629,-607.910,-273.926,0
0.162,-1000.000,-1000.000,-529.297,-821.289,0
0.166,-274.902,-473.633,-453.613,528.809,0
0.170,-806.641,-889.648,-592.285,-1000.000,0
0.174,434.082,322.754,-700.684,-662.109,0
0.177,-1000.000,-1000.000,-529.785,908.691,0
0.181,-480.957,-961.914,-427.734,-954.590,0
0.185,-954.102,578.613,-608.398,-375.488,0
0.189,887.695,822.754,-723.145,-1000.000,0
0.193,-666.504,-743.652,-541.016,192.383,0
0.197,-979.980,-1000.000,-473.633,-761.230,0
0.201,550.293,-51.270,-581.543,166.992,0
0.205,-811.523,-836.426,-685.059,-1000.000,0
0.209,-29.297,-51.758,-525.879,-263.184,0
0.213,-1000.000,-1000.000,-476.562,-802.246,0
0.217,-133.789,-229.004,-498.047,234.863,0
0.220,-783.203,-827.148,-586.914,-1000.000,0
0.224,216.797,245.117,-559.082,-371.094,0
0.228,-1000.000,-1000.000,-484.375,-863.281,0
0.232,-274.902,-578.613,-519.043,624.512,0
0.236,-816.895,-943.359,-625.000,-1000.000,0
0.240,528.809,439.453,-664.062,-805.664,0
0.244,-1000.000,-1000.000,-537.109,740.234,0
