timestamps,TP9,AF7,AF8,TP10,Marker0
1614036452.682,-216.309,-321.289,-629.395,203.613,Default
1614036452.686,-837.891,-865.234,-640.137,-1000.000,Default
1614036452.689,246.094,250.000,-579.102,-276.367,Default
1614036452.693,-1000.000,-1000.000,-512.207,-818.848,Default
1614036452.697,-605.957,-804.199,-563.965,562.988,Default
1614036452.701,-958.984,833.496,-620.605,-1000.000,Default
1614036452.705,306.641,462.402,-575.195,-524.902,Default
1614036452.709,-1000.000,-1000.000,-444.824,980.469,Default
1614036452.713,-1000.000,-1000.000,-436.035,-938.965,Default
1614036452.717,306.152,142.090,-685.547,-352.051,Default
1614036452.721,832.520,934.082,-594.238,-1000.000,Default
1614036452.725,-737.305,-565.430,-493.652,403.809,Default
1614036452.728,-1000.000,-1000.000,-513.184,-767.578,Default
1614036452.732,-187.012,-198.242,-692.871,175.293,Default
1614036452.736,-880.371,-861.816,-610.352,-1000.000,Default
1614036452.740,-69.824,67.871,-525.391,-166.992,Default
1614036452.744,-1000.000,-1000.000,-511.230,-767.578,Default
1614036452.748,-260.254,-437.012,-637.207,242.676,Default
1614036452.752,-845.703,-900.391,-633.789,-1000.000,0
1614036452.756,246.582,253.906,-499.512,-275.879,Default
1614036452.760,-1000.000,-1000.000,-458.984,-838.379,Default
1614036452.764,-725.098,-940.430,-607.422,664.062,0
1614036452.768,933.594,642.090,-655.273,-981.934,Default
1614036452.771,467.285,603.027,-569.824,-667.480,0
1614036452.775,-1000.000,-945.312,-532.715,890.137,Default
1614036452.779,-1000.000,-1000.000,-566.406,-875.488,Default
1614036452.783,182.129,-12.695,-661.133,-180.176,0
1614036452.787,948.242,-950.195,-559.082,-1000.000,Default
1614036452.791,-565.430,-333.984,-488.770,181.152,Default
1614036452.795,-1000.000,-1000.000,-500.488,-750.977,0
1614036452.799,-195.801,-208.984,-643.066,187.500,Default
1614036452.803,-864.746,-845.703,-520.508,-1000.000,Default
1614036452.807,40.039,186.523,-555.664,-274.902,0
1614036452.810,-1000.000,-1000.000,-547.852,-798.340,Default
1614036452.814,-415.039,-561.035,-623.535,379.883,0
1614036452.818,-893.555,-945.312,-652.832,-1000.000,Default
1614036452.822,254.883,274.902,-604.492,-346.680,Default
1614036452.826,-1000.000,-1000.000,-527.832,-896.973,0
1614036452.830,-908.691,-1000.000,-556.641,843.262,Default
1614036452.834,698.242,400.391,-680.664,-740.234,Default
1614036452.838,589.844,729.492,-594.727,-840.820,0
1614036452.842,-960.449,-839.844,-487.305,726.562,Default
1614036452.846,-1000.000,-1000.000,-487.793,-824.707,Default
1614036452.850,52.246,-137.695,-656.738,-47.852,0
1614036452.853,-955.566,-896.973,-592.773,-1000.000,Default
1614036452.857,-382.812,-150.879,-531.250,59.570,Default
1614036452.861,-1000.000,-1000.000,-394.043,-751.465,0
1614036452.865,-207.031,-257.324,-557.617,195.312,Default
1614036452.869,-849.121,-849.609,-657.227,-1000.000,Default
1614036452.873,166.992,239.746,-545.898,-277.344,0
1614036452.877,-1000.000,-1000.000,-496.094,-811.035,Default
1614036452.881,-537.598,-706.055,-618.652,508.301,Default
1614036452.885,-936.035,942.383,-668.945,-1000.000,0
1614036452.889,261.719,374.512,-535.645,-468.262,Default
1614036452.892,-1000.000,-1000.000,-458.008,-971.680,0
1614036452.896,-999.512,-1000.000,-582.520,985.352,Default
1614036452.900,459.961,208.496,-685.059,-510.742,Default
1614036452.904,600.098,844.238,-573.730,-986.328,0
1614036452.908,-883.301,-677.246,-501.953,542.480,Default
1614036452.912,-1000.000,-1000.000,-529.785,-788.086,Default
1614036452.916,-119.141,-193.359,-688.477,88.867,0
1614036452.920,-886.719,-872.070,-579.590,-1000.000,Default
1614036452.924,-170.898,1.465,-525.879,-88.867,Default
1614036452.928,-1000.000,-1000.000,-535.645,-762.207,0
1614036452.932,-216.309,-361.328,-667.969,207.031,Default
1614036452.935,-837.891,-875.000,-595.703,-1000.000,Default
1614036452.939,246.094,249.512,-543.457,-275.391,0
1614036452.943,-1000.000,-1000.000,-501.465,-826.660,Default
1614036452.947,-643.555,-870.605,-574.707,610.352,0
1614036452.951,-979.980,746.094,-585.449,-1000.000,Default
1614036452.955,360.840,514.648,-512.695,-580.566,Default
1614036452.959,-1000.000,-991.699,-544.434,944.336,0
1614036452.963,-1000.000,-1000.000,-542.969,-898.926,Default
1614036452.967,294.922,63.965,-651.367,-250.488,Default
1614036452.971,846.680,991.699,-613.281,-1000.000,0
1614036452.975,-772.461,-519.043,-521.973,338.379,Default
1614036452.978,-1000.000,-1000.000,-481.934,-865.234,Default
1614036452.982,-14.160,-22.461,-636.719,1.953,0
1614036452.986,-888.184,-872.070,-581.543,-1000.000,Default
1614036452.990,3.418,129.883,-556.641,-249.512,0
1614036452.994,-1000.000,-1000.000,-453.125,-793.457,Default
1614036452.998,-329.102,-490.234,-532.227,313.965,Default
1614036453.002,-861.816,-916.992,-665.039,-1000.000,0
1614036453.006,251.465,252.930,-581.543,-276.367,Default
1614036453.010,-1000.000,-1000.000,-504.395,-858.887,Default
1614036453.014,-783.691,-1000.000,-583.496,766.602,0
1614036453.017,868.652,522.949,-671.875,-855.469,Default
1614036453.021,475.586,644.531,-573.242,-727.539,Default
1614036453.025,-1000.000,-917.480,-496.582,843.262,0
1614036453.029,-1000.000,-1000.000,-531.738,-854.492,Default
1614036453.033,105.957,-82.520,-663.086,-100.586,Default
1614036453.037,-992.676,-920.410,-593.750,-1000.000,0
1614036453.041,-458.008,-241.211,-427.246,112.305,Default
1614036453.045,-1000.000,-1000.000,-406.250,-750.488,0
1614036453.049,-206.055,-220.703,-708.008,191.895,Default
1614036453.053,-849.121,-843.262,-611.328,-1000.000,Default
1614036453.057,143.066,218.750,-535.645,-276.367,0
1614036453.060,-1000.000,-1000.000,-543.945,-803.711,Default
1614036453.064,-441.406,-629.395,-628.906,445.312,Default
1614036453.068,-891.602,-993.164,-623.047,-1000.000,0
1614036453.072,253.906,309.082,-535.156,-398.926,Default
1614036453.076,-1000.000,-1000.000,-508.789,-930.176,Default
1614036453.080,-919.434,-1000.000,-574.707,915.039,0
1614036453.084,675.781,318.359,-614.258,-610.840,Default
1614036453.088,640.625,804.688,-494.629,-949.707,Default
1614036453.092,-923.340,-755.859,-521.484,587.402,0
1614036453.096,-1000.000,-1000.000,-545.410,-798.340,Default
1614036453.099,-44.922,-168.945,-673.340,41.992,0
1614036453.103,-872.559,-877.930,-600.586,-1000.000,Default
1614036453.107,-192.871,-65.430,-539.062,-45.410,Default
1614036453.111,-1000.000,-1000.000,-525.879,-758.301,0
1614036453.115,-216.797,-303.223,-657.715,203.613,Default
1614036453.119,-836.914,-859.375,-610.840,-1000.000,Default
1614036453.123,248.047,250.000,-538.086,-278.320,0
1614036453.127,-1000.000,-1000.000,-523.926,-812.988,Default
1614036453.131,-539.551,-768.066,-532.715,552.246,Default
1614036453.135,-988.281,798.828,-587.891,-1000.000,0
1614036453.139,159.180,343.750,-601.074,-441.895,Default
1614036453.142,-1000.000,-1000.000,-498.047,964.844,0
1614036453.146,-1000.000,-1000.000,-535.645,-930.176,Default
1614036453.150,336.914,154.297,-701.660,-330.566,Default
1614036453.154,782.227,915.039,-623.047,-1000.000,0
1614036453.158,-792.480,-594.238,-488.281,389.648,Default
1614036453.162,-1000.000,-1000.000,-485.352,-765.625,Default
1614036453.166,-189.453,-199.219,-689.453,176.270,0
1614036453.170,-878.906,-861.328,-604.004,-1000.000,Default
1614036453.174,-71.777,68.359,-478.027,-175.293,Default
1614036453.178,-1000.000,-1000.000,-440.918,-770.020,0
1614036453.182,-225.098,-416.016,-667.480,249.512,Default
1614036453.185,-822.266,-888.672,-645.508,-1000.000,Default
1614036453.189,214.355,247.559,-541.992,-250.000,0
1614036453.193,-1000.000,-1000.000,-532.715,-913.574,Default
1614036453.197,-602.051,-912.598,-618.164,607.422,Default
1614036453.201,917.480,657.227,-636.719,-910.156,0
1614036453.205,423.828,573.242,-545.898,-674.805,Default
1614036453.209,-1000.000,-961.426,-519.531,886.230,Default
1614036453.213,-1000.000,-1000.000,-559.082,-869.629,0
1614036453.217,178.711,4.883,-668.457,-158.691,Default
1614036453.221,949.219,-962.891,-540.527,-1000.000,0
1614036453.224,-565.430,-364.746,-466.797,177.734,Default
1614036453.228,-1000.000,-1000.000,-539.551,-750.000,Default
1614036453.232,-195.801,-208.496,-693.359,187.500,0
1614036453.236,-862.305,-846.191,-566.406,-1000.000,Default
1614036453.240,38.086,186.035,-542.969,-277.344,Default
1614036453.244,-1000.000,-1000.000,-558.105,-792.480,0
1614036453.248,-362.793,-544.922,-609.863,385.742,Default
1614036453.252,-871.094,-937.012,-591.309,-1000.000,Default
1614036453.256,246.582,271.484,-551.270,-268.066,0
1614036453.260,-1000.000,-1000.000,-519.531,-918.457,Default
1614036453.264,-894.043,-1000.000,-522.461,880.371,Default
1614036453.267,719.727,437.988,-565.430,-691.895,0
1614036453.271,586.426,712.891,-571.777,-847.168,Default
1614036453.275,-959.961,-856.934,-528.809,727.051,0
1614036453.279,-1000.000,-1000.000,-547.363,-825.195,Default
1614036453.283,52.246,-125.977,-695.801,-35.645,Default
1614036453.287,-955.566,-901.367,-619.629,-1000.000,0
1614036453.291,-382.812,-170.410,-530.273,25.879,Default
1614036453.295,-1000.000,-1000.000,-525.391,-754.883,Default
1614036453.299,-208.008,-250.000,-693.359,200.195,0
1614036453.303,-841.797,-844.238,-625.977,-1000.000,Default
1614036453.306,135.742,227.051,-557.617,-258.789,Default
1614036453.310,-1000.000,-1000.000,-526.367,-868.652,0
1614036453.314,-424.805,-634.766,-614.258,429.688,Default
1614036453.318,-935.547,958.008,-622.559,-1000.000,0
1614036453.322,255.859,362.305,-574.707,-474.609,Default
1614036453.326,-1000.000,-1000.000,-404.785,-984.375,Default
1614036453.330,-1000.000,-1000.000,-418.945,-991.211,0
1614036453.334,516.113,253.418,-684.082,-476.562,Default
1614036453.338,690.430,838.867,-570.801,-979.980,Default
1614036453.342,-896.973,-708.496,-483.398,550.293,0
1614036453.346,-1000.000,-1000.000,-539.551,-786.621,Default
1614036453.349,-77.637,-188.477,-705.566,123.047,0
1614036453.353,-879.883,-873.535,-572.266,-1000.000,Default
1614036453.357,-188.477,-15.137,-485.352,-104.004,Default
1614036453.361,-1000.000,-1000.000,-537.109,-761.230,0
1614036453.365,-216.309,-343.262,-702.637,208.008,Default
1614036453.369,-838.867,-869.629,-568.848,-1000.000,Default
1614036453.373,246.094,248.535,-459.961,-275.391,0
1614036453.377,-1000.000,-1000.000,-534.668,-827.148,Default
1614036453.381,-643.555,-848.633,-616.699,615.234,0
1614036453.385,-980.469,775.879,-632.812,-1000.000,Default
1614036453.389,361.816,494.141,-569.336,-579.590,Default
1614036453.392,-1000.000,-1000.000,-543.457,940.430,0
1614036453.396,-1000.000,-1000.000,-581.543,-890.625,Default
1614036453.400,309.570,93.262,-659.668,-230.957,Default
1614036453.404,832.520,965.820,-562.012,-1000.000,0
1614036453.408,-735.840,-506.836,-497.070,316.895,Default
1614036453.412,-1000.000,-1000.000,-525.391,-760.254,Default
1614036453.416,-190.430,-202.637,-620.117,182.129,0
1614036453.420,-877.441,-855.469,-516.113,-1000.000,Default
1614036453.424,-35.645,117.188,-560.059,-247.070,Default
1614036453.428,-1000.000,-1000.000,-525.391,-786.621,0
1614036453.431,-315.918,-466.797,-617.676,329.590,Default
1614036453.435,-863.281,-912.109,-636.719,-1000.000,Default
1614036453.439,257.812,270.020,-591.797,-286.133,0
1614036453.443,-1000.000,-1000.000,-514.648,-840.820,Default
1614036453.447,-728.027,-866.211,-513.184,723.633,Default
1614036453.451,956.055,791.016,-622.559,-937.988,0
1614036453.455,467.773,596.680,-592.773,-714.355,Default
1614036453.459,-1000.000,-940.918,-471.191,849.609,0
1614036453.463,-1000.000,-1000.000,-470.215,-857.422,Default
1614036453.467,170.410,-63.477,-702.148,-92.773,Default
1614036453.471,946.289,-938.477,-608.887,-1000.000,0
1614036453.474,-564.941,-288.574,-509.766,108.398,Default
1614036453.478,-1000.000,-1000.000,-537.109,-750.488,Default
1614036453.482,-205.566,-213.379,-701.660,193.848,0
1614036453.486,-847.656,-835.449,-592.773,-1000.000,Default
1614036453.490,101.074,197.754,-506.836,-257.324,Default
1614036453.494,-1000.000,-1000.000,-512.207,-858.398,0
1614036453.498,-349.121,-510.254,-606.934,337.402,Default
1614036453.502,-903.809,-972.168,-623.535,-1000.000,0
1614036453.506,255.371,297.852,-485.840,-396.973,Default
1614036453.510,-1000.000,-1000.000,-397.949,-926.270,Default
1614036453.513,-908.203,-1000.000,-555.664,892.578,0
1614036453.517,699.219,356.934,-671.875,-652.344,Default
1614036453.521,586.426,749.023,-564.941,-931.152,Default
1614036453.525,-957.520,-818.359,-519.531,611.328,0
1614036453.529,-1000.000,-1000.000,-558.594,-805.664,Default
1614036453.533,-17.578,-163.086,-669.434,15.137,Default
1614036453.537,-903.320,-879.395,-577.148,-1000.000,0
1614036453.541,-293.457,-117.188,-532.715,-15.137,Default
1614036453.545,-1000.000,-1000.000,-525.391,-814.941,0
1614036453.549,-126.953,-187.500,-617.676,115.234,Default
1614036453.553,-850.098,-862.305,-518.066,-1000.000,Default
1614036453.556,246.582,247.559,-562.012,-276.855,0
1614036453.560,-1000.000,-1000.000,-546.875,-815.918,Default
1614036453.564,-549.316,-742.188,-588.867,527.344,Default
1614036453.568,-929.688,904.785,-641.602,-1000.000,0
1614036453.572,257.812,408.691,-568.359,-500.000,Default
1614036453.576,-1000.000,-1000.000,-505.859,-994.141,Default
1614036453.580,-1000.000,-1000.000,-559.082,-986.816,0
1614036453.584,504.883,185.059,-673.828,-441.406,Default
1614036453.588,737.793,905.273,-586.426,-1000.000,0
1614036453.592,-840.820,-613.770,-502.930,440.918,Default
1614036453.596,-1000.000,-1000.000,-447.266,-777.344,Default
1614036453.599,-139.648,-196.777,-617.676,105.957,0
1614036453.603,-869.141,-864.258,-612.305,-1000.000,Default
1614036453.607,-90.820,41.992,-538.086,-135.254,Default
