timestamps,TP9,AF7,AF8,TP10,Marker0
0.016,-1000.000,-1000.000,-462.891,-795.410,0
0.020,-238.770,-275.879,-557.129,327.148,0
0.024,-818.359,-847.656,-683.105,-1000.000,0
0.028,240.723,247.070,-693.848,-271.484,0
0.032,-1000.000,-1000.000,-438.965,-876.465,0
0.036,-420.410,-744.141,-395.996,830.078,0
0.040,-865.723,910.645,-668.945,-752.441,0
0.044,440.430,454.102,-699.707,-801.758,0
0.048,-1000.000,-1000.000,-469.238,769.043,0
0.051,-915.039,-1000.000,-353.027,-832.520,0
0.055,617.676,176.270,-666.504,-47.363,0
0.059,-999.023,953.125,-718.262,-1000.000,0
0.063,-500.000,-551.270,-500.488,67.383,0
0.067,-1000.000,-1000.000,-295.898,-750.000,0
0.071,-3.418,-200.684,-602.539,194.336,0
0.075,-792.969,-856.934,-706.055,-1000.000,0
0.079,105.957,84.473,-611.816,-276.855,0
0.083,-1000.000,-1000.000,-192.871,-808.105,0
0.087,-250.000,-396.973,-356.445,480.957,0
0.090,-816.406,-879.395,-724.609,-1000.000,0
0.094,242.188,250.488,-644.531,-433.105,0
0.098,-1000.000,-1000.000,-385.742,-963.379,0
0.102,-561.523,-898.926,-410.156,987.305,0
0.106,-942.383,703.125,-681.152,-494.629,0
0.110,562.012,598.633,-667.969,-1000.000,0
0.114,-1000.000,-998.047,-511.230,608.887,0
0.118,-917.480,-1000.000,-430.664,-934.570,0
0.122,584.961,221.680,-644.531,-214.844,0
0.126,-861.328,-946.289,-668.457,-1000.000,0
0.129,-234.375,-327.148,-540.527,-42.480,0
0.133,-1000.000,-1000.000,-365.234,-766.113,0
0.137,-119.141,-211.914,-586.426,203.125,0
0.141,-796.875,-842.285,-640.137,-1000.000,0
0.145,219.727,205.078,-647.949,-276.367,0
0.149,-1000.000,-1000.000,-439.941,-827.148,0
0.153,-262.695,-518.066,-449.219,617.188,0
0.157,-810.547,-918.945,-580.078,-1000.000,0
0.161,239.746,256.836,-594.727,-572.754,0
0.164,-1000.000,-1000.000,-473.145,952.148,0
0.168,-643.555,-1000.000,-375.000,-901.855,0
0.172,978.516,497.559,-619.141,-288.086,0
0.176,725.098,721.191,-667.969,-1000.000,0
0.180,-835.449,-856.934,-498.047,370.117,0
0.184,-1000.000,-1000.000,-334.473,-766.113,0
0.188,218.262,-94.238,-560.547,181.641,0
0.192,-811.523,-875.488,-676.758,-1000.000,0
0.196,-118.652,-144.043,-606.934,-249.023,0
0.200,-1000.000,-1000.000,-376.465,-787.109,0
0.203,-228.516,-219.727,-543.945,321.289,0
0.207,-822.266,-834.473,-666.016,-1000.000,0
0.211,239.258,245.605,-662.598,-279.297,0
0.215,-1000.000,-1000.000,-419.922,-854.492,0
0.219,-357.422,-621.582,-403.320,753.418,0
0.223,-840.332,-972.168,-635.254,-881.836,0
0.227,375.000,364.258,-666.016,-693.359,0
0.231,-1000.000,-1000.000,-413.086,887.207,0
0.235,-787.109,-1000.000,-354.492,-871.094,0
0.239,793.457,307.617,-657.227,-152.832,0
0.242,921.875,874.512,-669.434,-1000.000,0
