timestamps,TP9,AF7,AF8,TP10,Marker0
0.009,-1000.000,-1000.000,314.941,-792.480,0
0.013,-192.871,-592.773,-18.555,631.348,0
0.017,-902.344,923.828,-924.805,-937.012,0
0.020,238.770,285.645,-786.133,-534.668,0
0.024,-1000.000,-1000.000,158.203,-958.008,0
0.028,-808.594,-924.316,307.129,926.758,0
0.032,826.172,673.828,-723.145,-698.242,0
0.036,864.258,898.926,-994.141,-985.840,0
0.040,-863.770,-834.961,-77.148,742.188,0
0.044,-1000.000,-1000.000,414.062,-937.012,0
0.048,678.711,597.656,-522.949,-633.301,0
0.052,995.605,985.352,-1000.000,-1000.000,0
0.056,-661.133,-624.023,-308.105,590.820,0
0.059,-1000.000,-1000.000,326.660,-787.598,0
0.063,369.141,76.172,-336.426,-48.828,0
0.067,-896.484,-934.082,-1000.000,-1000.000,0
0.071,-365.723,-312.988,-513.184,181.641,0
0.075,-1000.000,-1000.000,323.242,-803.711,0
0.079,-403.809,-714.844,-17.090,731.934,0
0.083,-960.938,854.492,-900.879,-857.910,0
0.087,460.449,535.156,-779.297,-744.629,0
0.091,-1000.000,-1000.000,62.500,965.820,0
0.095,-900.391,-959.961,193.359,953.125,0
0.098,746.094,663.086,-722.656,-697.266,0
0.102,949.707,971.191,-1000.000,-1000.000,0
0.106,-787.109,-710.938,-200.684,641.113,0
0.110,-1000.000,-1000.000,292.480,-875.000,0
0.114,685.059,465.332,-551.270,-543.457,0
0.118,988.281,991.699,-1000.000,-1000.000,0
0.122,-649.414,-576.172,-380.371,577.148,0
0.126,-1000.000,-1000.000,379.395,-785.156,0
0.130,246.094,-301.758,-127.441,173.340,0
0.134,-854.492,-996.582,-983.887,-1000.000,0
0.137,-208.984,-72.754,-624.512,12.695,0
0.141,-1000.000,-1000.000,310.547,-828.613,0
0.145,-642.090,-825.195,116.699,802.246,0
0.149,935.547,757.812,-856.445,-786.621,0
0.153,685.547,747.559,-867.188,-839.355,0
0.157,-987.793,-976.074,92.773,905.762,0
0.161,-986.328,-991.699,393.066,971.680,0
0.165,662.598,670.898,-635.742,-706.055,0
0.169,-987.793,993.652,-1000.000,-1000.000,0
0.173,-693.359,-650.391,-135.742,625.488,0
0.176,-1000.000,-1000.000,425.293,-840.332,0
0.180,583.984,345.215,-505.371,-429.688,0
0.184,-960.938,-973.633,-1000.000,-1000.000,0
0.188,-537.109,-490.723,-413.574,474.121,0
0.192,-1000.000,-1000.000,359.863,-781.250,0
0.196,-49.316,-518.066,-122.559,434.570,0
0.200,-886.719,946.777,-997.559,-1000.000,0
0.204,22.461,145.508,-660.156,-261.719,0
0.208,-1000.000,-1000.000,341.309,-891.602,0
0.212,-774.902,-899.414,143.555,897.949,0
0.215,830.566,684.570,-885.254,-695.312,0
0.219,818.848,862.793,-866.699,-927.246,0
0.223,-906.738,-881.348,157.227,837.402,0
0.227,-1000.000,-1000.000,304.199,990.723,0
0.231,672.852,633.789,-676.758,-713.379,0
0.235,-996.094,986.328,-1000.000,-1000.000,0
0.239,-682.617,-637.207,-287.598,617.676,0
0.243,-1000.000,-1000.000,329.590,-822.754,0
0.247,472.656,142.578,-407.227,-304.199,0
0.251,984.375,950.684,-1000.000,-1000.000,0
0.254,-463.379,-396.484,-479.492,375.488,0
0.258,-1000.000,-1000.000,354.980,-808.594,0
0.262,-269.531,-661.133,-12.695,627.930,0
0.266,-920.898,895.996,-934.570,-945.801,0
0.270,266.602,396.973,-742.676,-532.715,0
0.274,-1000.000,-1000.000,166.504,-958.984,0
0.278,-877.930,-943.359,170.898,926.758,0
0.282,739.746,662.598,-751.953,-698.242,0
0.286,926.270,937.500,-960.449,-985.840,0
0.290,-817.383,-779.297,-73.730,742.188,0
0.293,-1000.000,-1000.000,359.863,-937.012,0
0.297,682.129,556.641,-581.055,-632.812,0
0.301,993.164,980.469,-1000.000,-1000.000,0
0.305,-657.227,-612.793,-333.008,589.355,0
0.309,-1000.000,-1000.000,397.461,-790.039,0
0.313,327.637,-108.398,-166.992,-3.906,0
0.317,-885.742,-968.750,-1000.000,-1000.000,0
0.321,-312.500,-231.934,-574.707,174.805,0
0.325,-1000.000,-1000.000,383.301,-799.805,0
0.329,-575.195,-758.789,54.199,729.980,0
0.332,967.773,815.430,-921.875,-857.910,0
0.336,533.203,620.605,-819.336,-744.629,0
0.340,-1000.000,-1000.000,201.172,965.820,0
0.344,-964.844,-971.680,376.465,953.125,0
0.348,656.250,665.039,-720.215,-697.266,0
0.352,999.512,983.398,-1000.000,-1000.000,0
0.356,-740.234,-693.359,-16.113,641.602,0
0.360,-1000.000,-1000.000,364.258,-877.930,0
0.364,686.523,460.938,-581.055,-525.391,0
0.368,988.770,999.512,-1000.000,-1000.000,0
0.372,-649.414,-564.453,-294.434,503.418,0
0.375,-1000.000,-1000.000,498.535,-777.344,0
0.379,246.094,-309.570,-112.305,327.637,0
0.383,-854.980,-996.094,-982.910,-1000.000,0
0.387,-209.473,-57.617,-671.387,-96.191,0
0.391,-1000.000,-1000.000,193.848,-827.637,0
0.395,-648.438,-827.148,32.715,808.105,0
0.399,924.316,747.559,-888.672,-784.180,0
0.403,491.211,547.363,-798.340,-644.043,0
0.407,-1000.000,-1000.000,47.363,981.445,0
0.411,-952.637,-957.520,225.586,938.477,0
0.414,646.484,655.762,-656.738,-692.383,0
0.418,-981.934,995.117,-1000.000,-1000.000,0
0.422,-693.359,-654.297,-330.078,613.281,0
0.426,-1000.000,-1000.000,256.348,-817.383,0
0.430,583.008,345.215,-398.926,-321.777,0
0.434,-956.543,-981.934,-1000.000,-1000.000,0
0.438,-543.457,-504.395,-510.254,371.094,0
0.442,-1000.000,-1000.000,328.613,-773.926,0
0.446,24.414,-516.602,26.367,545.898,0
0.450,-865.723,945.312,-900.391,-980.957,0
0.453,15.137,131.348,-772.949,-323.730,0
0.457,-1000.000,-1000.000,156.738,-895.508,0
0.461,-709.961,-887.695,176.270,899.414,0
0.465,892.578,698.242,-800.781,-691.406,0
0.469,799.805,853.027,-956.543,-957.031,0
0.473,-905.762,-891.113,-93.262,783.691,0
0.477,-1000.000,-1000.000,390.137,-956.055,0
0.481,672.363,640.625,-542.969,-647.461,0
0.485,-996.582,985.352,-1000.000,-1000.000,0
0.489,-677.246,-631.836,-329.590,600.098,0
0.492,-1000.000,-1000.000,301.270,-792.969,0
0.496,473.633,152.832,-319.336,-192.871,0
0.500,-912.598,-955.078,-1000.000,-1000.000,0
0.504,-433.594,-377.930,-528.320,268.555,0
0.508,-1000.000,-1000.000,329.590,-787.598,0
0.512,-193.359,-644.043,-16.602,645.020,0
0.516,-901.367,896.973,-926.270,-928.223,0
0.520,236.328,370.605,-739.746,-537.598,0
0.524,-1000.000,-1000.000,153.809,-956.543,0
0.528,-842.285,-939.453,156.250,922.363,0
0.531,770.020,660.645,-783.203,-688.477,0
0.535,933.105,937.988,-912.109,-1000.000,0
0.539,-800.781,-779.297,-58.594,674.316,0
0.543,-1000.000,-1000.000,303.223,-887.207,0
0.547,683.594,555.664,-561.035,-556.152,0
0.551,990.234,976.562,-1000.000,-1000.000,0
0.555,-651.367,-607.910,-380.371,578.125,0
0.559,-1000.000,-1000.000,298.828,-779.297,0
0.563,291.992,-170.898,-264.160,121.582,0
0.567,-887.207,-984.863,-1000.000,-1000.000,0
0.570,-309.570,-216.797,-602.539,129.395,0
0.574,-1000.000,-1000.000,307.617,-791.504,0
0.578,-602.051,-776.367,49.805,729.492,0
0.582,956.055,797.852,-915.039,-859.375,0
0.586,647.949,665.527,-824.707,-744.629,0
0.590,-999.512,-1000.000,128.418,965.332,0
0.594,-981.445,-978.027,282.227,953.125,0
0.598,658.691,666.504,-693.359,-698.730,0
0.602,-981.934,989.258,-1000.000,-1000.000,0
0.606,-704.590,-676.270,-144.531,630.859,0
0.609,-1000.000,-1000.000,371.582,-853.027,0
0.613,665.527,428.711,-539.062,-464.844,0
0.617,979.492,999.512,-1000.000,-1000.000,0
0.621,-628.906,-552.246,-373.535,494.141,0
0.625,-1000.000,-1000.000,430.664,-773.438,0
0.629,41.504,-404.785,-95.215,337.891,0
0.633,-891.602,974.609,-1000.000,-1000.000,0
0.637,-149.902,-10.742,-607.422,-97.656,0
0.641,-1000.000,-1000.000,405.762,-836.426,0
0.645,-691.406,-861.816,97.168,818.359,0
0.648,886.230,713.379,-922.363,-782.715,0
0.652,777.344,812.988,-841.309,-839.844,0
0.656,-929.199,-932.617,188.965,906.250,0
0.660,-1000.000,-1000.000,311.523,971.680,0
0.664,669.922,663.574,-702.637,-708.496,0
0.668,-992.676,989.746,-1000.000,-1000.000,0
0.672,-683.594,-643.066,-204.590,613.770,0
0.676,-1000.000,-1000.000,360.352,-817.871,0
0.680,531.250,271.973,-438.477,-324.219,0
0.684,-956.055,-960.449,-1000.000,-1000.000,0
0.687,-510.742,-438.477,-353.027,371.094,0
0.691,-1000.000,-1000.000,391.113,-773.438,0
0.695,-182.129,-582.520,-108.398,546.387,0
0.699,-913.574,922.852,-952.148,-980.957,0
0.703,123.047,227.539,-723.145,-323.730,0
0.707,-1000.000,-1000.000,197.754,-895.508,0
0.711,-806.152,-919.434,131.836,901.855,0
0.715,802.734,667.480,-834.961,-699.707,0
0.719,869.629,895.996,-908.203,-922.852,0
0.723,-864.746,-842.773,25.391,827.637,0
0.726,-1000.000,-1000.000,330.566,-979.492,0
0.730,677.734,607.910,-581.055,-669.434,0
0.734,997.559,983.398,-1000.000,-1000.000,0
0.738,-665.527,-624.023,-316.895,593.750,0
0.742,-1000.000,-1000.000,362.793,-791.992,0
0.746,396.973,46.387,-239.258,-93.750,0
0.750,-901.855,-952.637,-1000.000,-1000.000,0
0.754,-376.953,-308.594,-535.645,252.441,0
0.758,-1000.000,-1000.000,379.395,-779.785,0
0.762,-399.414,-701.172,86.426,642.090,0
0.765,-962.402,862.793,-907.715,-928.223,0
0.769,402.832,479.492,-813.477,-537.598,0
0.773,-1000.000,-1000.000,183.594,-957.031,0
0.777,-912.109,-952.148,345.215,925.293,0
0.781,715.820,662.598,-716.309,-696.777,0
0.785,952.148,958.984,-1000.000,-991.699,0
0.789,-791.504,-740.234,-54.688,711.426,0
0.793,-1000.000,-1000.000,342.773,-894.043,0
0.797,685.059,514.648,-579.590,-557.617,0
0.801,987.793,990.234,-1000.000,-1000.000,0
0.804,-647.949,-609.375,-281.250,588.379,0
0.808,-1000.000,-1000.000,386.719,-778.320,0
0.812,253.418,-30.273,-315.918,-74.219,0
0.816,-869.629,-912.109,-1000.000,-1000.000,0
0.820,-253.906,-186.035,-499.512,162.598,0
0.824,-1000.000,-1000.000,397.949,-807.129,0
0.828,-608.887,-795.898,46.875,734.863,0
0.832,957.031,789.551,-905.273,-859.375,0
0.836,677.246,687.988,-781.250,-744.629,0
0.840,-992.188,-1000.000,131.348,975.586,0
0.843,-980.469,-975.586,231.934,942.871,0
0.847,660.156,666.016,-727.539,-701.172,0
0.851,914.062,889.648,-989.746,-833.008,0
0.855,-728.516,-701.172,-105.469,701.172,0
0.859,-1000.000,-1000.000,358.398,-873.535,0
0.863,602.051,388.184,-523.926,-413.086,0
0.867,-995.605,-988.770,-1000.000,-1000.000,0
0.871,-604.492,-532.715,-378.418,476.074,0
0.875,-1000.000,-1000.000,392.090,-770.020,0
0.879,36.133,-440.430,-101.074,337.891,0
0.882,-883.789,968.262,-963.867,-1000.000,0
0.886,-99.609,28.320,-694.824,-97.168,0
0.890,-1000.000,-1000.000,247.559,-838.379,0
0.894,-765.625,-880.859,140.137,826.172,0
0.898,840.820,709.473,-869.141,-786.133,0
0.902,779.297,805.664,-901.855,-829.590,0
0.906,-942.383,-937.012,69.824,915.039,0
0.910,-714.355,-732.422,184.082,682.617,0
0.914,794.922,775.879,-726.074,-833.008,0
0.918,952.148,937.012,-1000.000,-968.750,0
0.921,-652.344,-615.234,-233.887,588.379,0
0.925,-1000.000,-1000.000,395.508,-806.152,0
0.929,484.863,228.516,-444.336,-312.012,0
0.933,-941.406,-958.984,-1000.000,-1000.000,0
0.937,-487.793,-419.434,-439.941,370.605,0
0.941,-1000.000,-1000.000,445.312,-772.949,0
0.945,-195.312,-614.258,-62.988,545.898,0
0.949,-905.762,911.133,-980.469,-980.957,0
0.953,225.098,290.039,-727.539,-323.730,0
0.957,-1000.000,-1000.000,194.336,-895.508,0
0.961,-851.562,-928.711,145.996,899.414,0
0.964,776.367,665.039,-855.469,-691.895,0
0.968,875.000,908.691,-902.344,-953.613,0
0.972,-866.211,-822.754,148.926,781.738,0
0.976,-1000.000,-1000.000,344.727,-945.312,0
0.980,678.223,586.426,-650.391,-629.883,0
0.984,995.117,982.422,-1000.000,-1000.000,0
0.988,-662.109,-619.141,-303.711,593.750,0
0.992,-1000.000,-1000.000,343.750,-791.016,0
0.996,365.723,-9.766,-321.777,-93.750,0
1.000,-889.648,-957.031,-1000.000,-1000.000,0
1.003,-342.285,-282.715,-526.855,252.930,0
1.007,-1000.000,-1000.000,332.520,-782.715,0
1.011,-449.707,-721.680,1.465,652.344,0
1.015,-979.004,847.168,-917.969,-919.434,0
1.019,463.867,538.086,-790.039,-560.547,0
1.023,-1000.000,-1000.000,157.227,-964.844,0
1.027,-942.871,-960.449,246.094,924.805,0
1.031,690.918,663.574,-732.422,-686.523,0
1.035,956.055,968.750,-984.375,-1000.000,0
1.039,-791.992,-719.727,-101.074,654.297,0
1.042,-1000.000,-1000.000,375.000,-876.953,0
1.046,685.059,490.234,-436.035,-542.480,0
1.050,987.793,983.398,-1000.000,-1000.000,0
1.054,-648.926,-592.773,-403.809,578.125,0
1.058,-1000.000,-1000.000,387.207,-778.809,0
1.062,249.023,-260.254,-152.344,121.582,0
1.066,-860.352,-993.164,-1000.000,-1000.000,0
1.070,-227.051,-130.859,-614.258,132.812,0
1.074,-1000.000,-1000.000,351.562,-804.199,0
1.078,-640.137,-809.570,61.523,774.902,0
1.081,935.547,768.555,-919.922,-797.363,0
1.085,684.082,712.402,-844.238,-820.312,0
1.089,-994.141,-1000.000,120.117,923.828,0
1.093,-979.980,-979.492,288.574,961.426,0
1.097,660.156,667.480,-689.453,-702.637,0
1.101,914.062,889.160,-993.652,-928.711,0
1.105,-728.516,-699.707,-71.777,659.668,0
1.109,-1000.000,-1000.000,389.648,-856.445,0
1.113,608.398,385.254,-526.855,-421.387,0
1.117,988.770,-994.629,-1000.000,-1000.000,0
1.120,-629.883,-541.504,-463.867,472.656,0
1.124,-1000.000,-1000.000,298.828,-782.715,0
1.128,27.344,-453.125,-105.957,472.168,0
1.132,-872.070,964.844,-951.660,-1000.000,0
1.136,-15.137,46.387,-728.027,-283.203,0
1.140,-1000.000,-1000.000,142.090,-893.066,0
1.144,-707.520,-872.559,78.125,899.414,0
1.148,895.508,707.520,-839.844,-696.777,0
1.152,774.902,823.730,-906.738,-927.246,0
1.156,-929.199,-921.875,-39.062,837.402,0
1.159,-1000.000,-1000.000,254.395,990.723,0
1.163,670.410,656.250,-620.117,-715.332,0
1.167,-995.117,987.793,-1000.000,-1000.000,0
