timestamps,TP9,AF7,AF8,TP10,Marker0
0.005,-993.652,-1000.000,-534.180,902.832,0
0.009,-788.574,-957.031,-589.844,971.191,0
0.013,890.625,662.109,-539.551,-706.055,0
0.017,972.656,967.285,-507.324,-1000.000,0
0.020,-701.172,-735.840,-606.445,625.977,0
0.024,-1000.000,-1000.000,-611.328,-841.797,0
0.028,662.109,537.109,-537.109,-425.293,0
0.032,-935.547,980.469,-474.121,-1000.000,0
0.036,-604.492,-611.328,-563.965,458.984,0
0.040,-1000.000,-1000.000,-625.488,-780.762,0
0.044,457.031,-148.438,-571.289,354.980,0
0.048,-808.594,-956.543,-458.008,-1000.000,0
0.052,-39.062,-153.320,-542.969,-296.875,0
0.056,-1000.000,-1000.000,-646.973,-892.090,0
0.060,-245.117,-773.926,-583.984,842.773,0
0.063,-895.508,809.570,-433.105,-781.738,0
0.067,734.863,710.449,-507.324,-912.598,0
0.071,-899.902,-991.699,-625.977,835.938,0
0.075,-886.719,-986.328,-585.938,989.258,0
0.079,828.613,667.969,-439.453,-713.867,0
0.083,988.281,995.117,-480.957,-1000.000,0
0.087,-708.496,-665.527,-640.625,614.258,0
0.091,-1000.000,-1000.000,-612.793,-820.801,0
0.095,647.461,421.387,-476.562,-296.875,0
0.099,-897.949,-992.188,-464.844,-1000.000,0
0.102,-488.770,-541.016,-600.586,288.086,0
0.106,-1000.000,-1000.000,-616.699,-780.762,0
0.110,306.152,-410.156,-555.664,562.012,0
0.114,-792.969,984.375,-507.812,-991.211,0
0.118,177.246,42.969,-553.223,-519.531,0
0.122,-1000.000,-1000.000,-587.402,-963.379,0
0.126,-462.891,-864.258,-562.012,927.734,0
0.130,-971.680,716.797,-527.344,-698.242,0
0.134,857.422,835.938,-539.062,-985.840,0
0.138,-795.898,-916.016,-602.051,742.188,0
0.142,-975.586,-1000.000,-620.117,-937.012,0
0.145,757.812,677.734,-540.039,-631.836,0
0.149,-995.117,989.746,-498.535,-1000.000,0
0.153,-714.844,-645.996,-560.059,596.680,0
0.157,-1000.000,-1000.000,-599.609,-798.828,0
0.161,632.812,289.551,-542.480,-77.637,0
0.165,-864.258,-940.918,-480.957,-1000.000,0
0.169,-377.441,-416.504,-510.254,153.809,0
0.173,-1000.000,-1000.000,-597.656,-790.039,0
0.177,189.453,-582.031,-621.094,656.738,0
0.181,-792.969,935.547,-509.277,-930.176,0
0.185,409.668,307.129,-503.418,-727.051,0
0.188,-1000.000,-1000.000,-604.492,960.938,0
0.192,-679.688,-931.641,-618.164,953.613,0
0.196,940.918,665.527,-496.094,-696.777,0
0.200,958.008,917.480,-482.422,-1000.000,0
0.204,-692.871,-823.242,-612.793,643.555,0
0.208,-1000.000,-1000.000,-624.512,-883.301,0
0.212,678.711,619.141,-495.605,-538.574,0
0.216,-985.352,983.887,-373.535,-1000.000,0
0.220,-707.031,-626.465,-547.363,523.438,0
0.224,-1000.000,-1000.000,-652.832,-785.156,0
0.227,559.082,64.453,-524.902,142.578,0
0.231,-835.938,-935.059,-419.434,-1000.000,0
0.235,-257.812,-286.133,-574.707,-71.777,0
0.239,-1000.000,-1000.000,-640.625,-833.984,0
0.243,-23.438,-697.266,-547.363,751.953,0
0.247,-846.191,873.535,-496.582,-859.863,0
0.251,676.758,564.941,-535.645,-824.219,0
0.255,-934.570,-1000.000,-607.910,902.344,0
0.259,-805.664,-964.844,-514.648,971.191,0
0.263,896.484,661.133,-474.609,-706.055,0
0.267,971.191,985.840,-552.246,-1000.000,0
0.270,-701.172,-710.449,-602.051,627.441,0
0.274,-1000.000,-1000.000,-579.590,-846.680,0
0.278,663.086,534.668,-547.852,-413.574,0
0.282,-938.477,981.934,-532.715,-1000.000,0
0.286,-597.168,-604.004,-586.914,398.438,0
0.290,-1000.000,-1000.000,-621.582,-775.879,0
0.294,419.922,-193.848,-586.914,356.445,0
0.298,-806.152,-967.773,-524.414,-1000.000,0
0.302,-38.574,-132.812,-561.035,-295.410,0
0.306,-1000.000,-1000.000,-595.215,-896.973,0
0.309,-243.164,-791.992,-588.867,858.398,0
0.313,-904.785,791.504,-529.297,-760.742,0
0.317,779.785,738.770,-508.301,-916.504,0
0.321,-858.398,-978.516,-590.820,835.938,0
0.325,-896.973,-990.723,-627.441,989.258,0
0.329,831.055,669.434,-527.344,-713.867,0
0.333,988.281,997.559,-457.520,-1000.000,0
0.337,-708.008,-657.715,-584.473,614.258,0
0.341,-1000.000,-1000.000,-634.766,-821.289,0
0.345,647.461,400.391,-531.250,-296.387,0
0.349,-897.949,-981.445,-425.781,-1000.000,0
0.352,-489.746,-520.508,-545.410,284.668,0
0.356,-1000.000,-1000.000,-629.883,-780.273,0
0.360,297.363,-433.594,-569.824,562.500,0
0.364,-788.574,985.840,-489.746,-991.211,0
