timestamps,TP9,AF7,AF8,TP10,Marker0
1614035414.402,637.207,231.934,-655.762,-166.504,0
1614035414.406,937.012,901.855,-672.852,-1000.000,Default
1614035414.410,-598.145,-636.230,-520.996,251.465,Default
1614035414.414,-1000.000,-1000.000,-375.488,-754.395,Default
1614035414.418,1.953,-198.242,-625.488,185.547,Default
1614035414.422,-802.246,-861.328,-614.746,-1000.000,Default
1614035414.425,55.176,52.734,-615.723,-276.855,Default
1614035414.429,-1000.000,-1000.000,-480.469,-796.387,Default
1614035414.433,-245.605,-350.586,-507.324,423.828,Default
1614035414.437,-812.988,-864.746,-615.723,-1000.000,Default
1614035414.441,224.609,247.559,-689.941,-284.668,Default
1614035414.445,-1000.000,-1000.000,-449.707,-880.371,Default
1614035414.449,-473.145,-861.328,-391.602,874.023,Default
1614035414.453,-949.219,765.625,-669.434,-714.844,Default
1614035414.457,547.363,541.016,-686.035,-732.910,Default
1614035414.461,-1000.000,-981.445,-503.418,839.355,Default
1614035414.464,-1000.000,-1000.000,-385.254,-834.961,Default
1614035414.468,437.988,64.453,-616.211,41.016,Default
1614035414.472,-940.430,-973.145,-669.434,-1000.000,Default
1614035414.476,-415.039,-409.180,-569.336,56.641,Default
1614035414.480,-1000.000,-1000.000,-214.355,-744.141,Default
1614035414.484,-114.746,-208.984,-464.355,192.871,Default
1614035414.488,-803.223,-846.191,-709.961,-1000.000,Default
1614035414.492,220.215,185.059,-639.160,-277.832,Default
1614035414.496,-1000.000,-1000.000,-451.660,-811.523,Default
1614035414.500,-262.695,-491.699,-499.512,525.879,Default
1614035414.504,-810.547,-909.180,-681.152,-1000.000,Default
1614035414.507,239.258,250.977,-650.879,-443.848,Default
1614035414.511,-1000.000,-1000.000,-327.148,-987.793,Default
1614035414.515,-649.414,-1000.000,-320.312,-946.289,Default
1614035414.519,998.535,525.879,-690.430,-381.836,Default
1614035414.523,639.648,685.059,-653.809,-984.375,Default
1614035414.527,-927.734,-887.207,-392.090,542.969,Default
1614035414.531,-1000.000,-1000.000,-351.074,-776.855,Default
1614035414.535,216.797,-98.633,-674.805,164.551,Default
1614035414.539,-817.383,-887.695,-677.734,-1000.000,Default
1614035414.543,-138.184,-170.898,-585.449,-62.988,Default
1614035414.547,-1000.000,-1000.000,-423.828,-749.023,Default
1614035414.550,-227.051,-217.773,-573.730,200.684,Default
1614035414.554,-824.219,-835.938,-645.020,-1000.000,Default
1614035414.558,239.746,245.117,-654.297,-271.973,Default
1614035414.562,-1000.000,-1000.000,-362.793,-843.262,Default
1614035414.566,-365.723,-630.371,-385.254,686.035,Default
1614035414.570,-842.773,-979.004,-622.070,-969.727,Default
1614035414.574,346.191,354.004,-607.422,-590.332,Default
1614035414.578,-1000.000,-1000.000,-479.004,935.059,Default
1614035414.582,-784.180,-1000.000,-409.668,-872.070,Default
1614035414.586,801.270,287.598,-666.504,-187.012,Default
1614035414.589,885.254,855.469,-692.871,-1000.000,Default
1614035414.593,-641.602,-696.777,-534.180,361.816,Default
1614035414.597,-1000.000,-1000.000,-379.883,-757.812,Default
1614035414.601,43.945,-190.430,-621.094,178.223,Default
1614035414.605,-805.176,-869.141,-654.785,-1000.000,Default
1614035414.609,-0.977,-7.812,-611.816,-217.285,Default
1614035414.613,-1000.000,-1000.000,-383.789,-779.297,Default
1614035414.617,-237.793,-308.594,-400.391,361.816,Default
1614035414.621,-820.312,-855.469,-609.863,-1000.000,Default
1614035414.625,242.188,246.582,-709.961,-276.367,Default
1614035414.629,-1000.000,-1000.000,-358.887,-884.766,Default
1614035414.632,-467.285,-808.105,-323.730,877.441,Default
1614035414.636,-887.207,832.031,-711.914,-720.215,Default
1614035414.640,491.699,499.512,-695.801,-710.449,Default
1614035414.644,-1000.000,-1000.000,-458.008,876.953,Default
1614035414.648,-1000.000,-1000.000,-382.324,-847.168,Default
1614035414.652,476.562,116.211,-669.922,-53.223,Default
1614035414.656,-944.336,995.605,-694.336,-1000.000,Default
1614035414.660,-414.551,-475.586,-464.355,139.160,Default
1614035414.664,-1000.000,-1000.000,-300.293,-745.117,Default
1614035414.668,-106.445,-204.590,-661.621,188.477,Default
1614035414.672,-810.547,-851.074,-676.758,-1000.000,Default
1614035414.675,118.652,134.766,-641.113,-278.320,Default
1614035414.679,-1000.000,-1000.000,-451.660,-808.594,Default
1614035414.683,-248.047,-446.777,-482.422,519.043,Default
1614035414.687,-816.895,-895.020,-658.691,-1000.000,Default
1614035414.691,242.188,250.488,-671.875,-388.672,Default
1614035414.695,-1000.000,-1000.000,-411.133,-940.918,Default
1614035414.699,-597.656,-961.426,-374.023,989.746,Default
1614035414.703,-968.750,610.352,-663.086,-514.648,Default
1614035414.707,628.906,644.043,-581.543,-893.555,Default
1614035414.711,-921.875,-924.316,-453.125,669.922,Default
1614035414.714,-1000.000,-1000.000,-442.871,-803.711,Default
1614035414.718,229.004,-43.457,-652.344,87.891,Default
1614035414.722,-839.355,-899.414,-666.504,-1000.000,Default
1614035414.726,-220.215,-233.887,-572.266,-51.270,Default
1614035414.730,-1000.000,-1000.000,-415.039,-754.883,Default
1614035414.734,-220.215,-214.844,-604.492,202.637,Default
1614035414.738,-825.684,-838.867,-659.668,-1000.000,Default
1614035414.742,236.328,231.445,-655.273,-276.367,Default
1614035414.746,-1000.000,-1000.000,-435.059,-824.219,Default
1614035414.750,-302.734,-585.938,-359.375,615.723,Default
1614035414.754,-821.289,-949.707,-602.539,-1000.000,Default
1614035414.757,335.938,309.082,-704.590,-497.559,Default
1614035414.761,-1000.000,-1000.000,-440.918,989.746,Default
1614035414.765,-794.434,-1000.000,-355.957,-914.062,Default
1614035414.769,825.195,364.258,-670.410,-272.949,Default
1614035414.773,797.363,799.805,-696.289,-1000.000,Default
1614035414.777,-769.531,-769.531,-503.906,368.652,Default
1614035414.781,-1000.000,-1000.000,-357.422,-761.230,Default
1614035414.785,114.258,-172.363,-643.066,175.293,Default
1614035414.789,-810.547,-874.512,-665.039,-1000.000,Default
1614035414.793,-69.824,-57.617,-580.078,-171.387,Default
1614035414.797,-1000.000,-1000.000,-190.918,-766.602,Default
1614035414.800,-231.934,-273.438,-375.977,312.500,Default
1614035414.804,-824.219,-847.656,-702.637,-1000.000,Default
1614035414.808,243.164,247.070,-635.742,-278.809,Default
1614035414.812,-1000.000,-1000.000,-362.305,-862.305,Default
1614035414.816,-466.309,-742.676,-417.969,783.203,Default
1614035414.820,-885.742,912.109,-699.707,-845.215,Default
1614035414.824,448.730,456.055,-684.082,-691.895,Default
1614035414.828,-1000.000,-1000.000,-502.930,874.512,Default
