timestamps,TP9,AF7,AF8,TP10,Marker0
0.010,583.008,362.793,-464.355,-395.996,0
0.014,-956.543,-974.121,-1000.000,-1000.000,0
0.018,-542.969,-497.070,-494.141,377.930,0
0.022,-1000.000,-1000.000,313.477,-783.691,0
0.026,24.414,-502.930,-71.777,524.414,0
0.030,-866.211,954.102,-932.129,-998.535,0
0.034,13.184,141.602,-719.238,-450.195,0
0.037,-1000.000,-1000.000,167.480,-943.359,0
0.041,-754.395,-897.461,185.547,917.969,0
0.045,858.398,688.965,-748.535,-691.406,0
0.049,784.180,857.422,-926.758,-994.141,0
0.053,-932.129,-888.672,-56.641,760.742,0
0.057,-1000.000,-1000.000,328.613,-993.164,0
0.061,680.176,645.508,-577.148,-725.586,0
0.065,993.652,982.910,-1000.000,-1000.000,0
0.069,-678.711,-639.160,-334.961,608.887,0
0.073,-946.289,-1000.000,309.082,-950.684,0
0.077,550.293,270.996,-195.312,-297.852,0
0.080,-952.637,-956.543,-983.887,-1000.000,0
0.084,-409.668,-374.023,-555.176,261.719,0
0.088,-1000.000,-1000.000,379.395,-792.969,0
0.092,-322.266,-666.992,7.324,651.855,0
0.096,-946.289,882.324,-940.918,-925.293,0
0.100,255.371,374.512,-777.832,-684.570,0
0.104,-1000.000,-1000.000,189.453,979.492,0
0.108,-856.934,-939.453,218.262,945.801,0
0.112,764.648,662.109,-768.555,-691.406,0
0.116,893.066,932.129,-936.523,-1000.000,0
0.120,-848.633,-788.574,-13.672,658.691,0
0.123,-1000.000,-1000.000,350.586,-920.898,0
0.127,679.199,562.988,-574.219,-631.348,0
0.131,995.605,980.469,-1000.000,-1000.000,0
0.135,-662.598,-613.770,-318.848,582.031,0
0.139,-1000.000,-1000.000,301.758,-789.062,0
0.143,361.816,-94.238,-305.176,124.512,0
0.147,-882.812,-966.797,-998.535,-1000.000,0
0.151,-316.895,-236.816,-601.562,30.273,0
0.155,-1000.000,-1000.000,238.281,-813.477,0
0.159,-514.160,-749.512,13.184,740.234,0
0.162,995.117,824.219,-893.066,-854.004,0
0.166,473.145,591.797,-845.215,-816.895,0
0.170,-1000.000,-1000.000,73.730,909.180,0
0.174,-958.496,-966.797,272.949,969.238,0
0.178,654.785,663.086,-652.832,-704.102,0
0.182,991.699,984.375,-995.605,-1000.000,0
0.186,-751.953,-694.336,-243.652,632.812,0
0.190,-1000.000,-1000.000,309.570,-857.422,0
0.194,686.035,466.797,-385.742,-467.285,0
0.198,988.770,995.117,-1000.000,-1000.000,0
0.202,-648.926,-569.824,-462.402,475.098,0
0.205,-1000.000,-1000.000,357.910,-779.785,0
0.209,246.094,-313.477,32.227,349.121,0
0.213,-854.980,999.512,-907.227,-1000.000,0
0.217,-209.961,-67.871,-685.059,-229.004,0
0.221,-1000.000,-1000.000,260.254,-873.535,0
0.225,-673.340,-840.332,260.742,833.496,0
0.229,912.109,740.234,-733.398,-776.367,0
0.233,690.918,756.348,-888.672,-914.062,0
0.237,-991.211,-974.121,50.293,835.449,0
0.241,-985.840,-993.164,293.457,989.258,0
0.245,662.109,671.387,-648.438,-712.891,0
0.248,-987.793,993.164,-1000.000,-1000.000,0
0.252,-693.359,-650.391,-262.207,617.188,0
0.256,-1000.000,-1000.000,305.176,-826.172,0
0.260,583.008,339.844,-445.312,-333.984,0
0.264,-956.543,-967.285,-1000.000,-1000.000,0
0.268,-542.969,-478.027,-409.180,340.332,0
0.272,-1000.000,-1000.000,437.988,-782.227,0
0.276,22.949,-520.508,-75.684,558.594,0
0.280,-866.699,947.754,-949.219,-987.793,0
0.284,11.719,162.598,-721.680,-493.164,0
0.288,-1000.000,-1000.000,140.137,-954.102,0
0.291,-786.621,-905.762,156.738,923.340,0
0.295,821.289,678.711,-786.621,-695.312,0
0.299,820.801,875.000,-932.617,-990.234,0
0.303,-907.715,-869.629,-109.863,752.441,0
0.307,-1000.000,-1000.000,273.438,-967.773,0
0.311,672.852,628.418,-577.148,-679.688,0
0.315,-996.582,985.840,-1000.000,-1000.000,0
0.319,-677.246,-630.859,-370.117,597.656,0
0.323,-1000.000,-1000.000,276.855,-800.293,0
0.327,474.609,131.836,-323.242,-107.910,0
0.331,-916.504,-950.195,-1000.000,-1000.000,0
0.334,-431.641,-355.957,-581.543,196.289,0
0.338,-1000.000,-1000.000,278.809,-791.016,0
0.342,-268.555,-657.227,21.484,654.785,0
0.346,977.051,839.355,-866.211,-927.734,0
0.350,198.242,385.254,-785.645,-727.539,0
0.354,-1000.000,-1000.000,71.289,960.938,0
0.358,-881.836,-948.242,246.582,953.613,0
0.362,740.723,663.086,-681.641,-696.289,0
0.366,923.340,943.848,-1000.000,-1000.000,0
