timestamps,TP9,AF7,AF8,TP10,Marker0
0.003,682.129,534.180,-633.789,-477.539,420
0.007,996.094,984.375,-724.609,-1000.000,420
0.011,-665.527,-614.746,-597.168,566.406,420
0.015,-1000.000,-1000.000,-369.141,-763.672,420
0.019,345.215,-59.082,-558.105,201.660,420
0.023,-843.750,-946.289,-703.613,-1000.000,420
0.026,-222.656,-235.840,-620.117,218.262,420
0.030,-1000.000,-1000.000,-416.992,-791.504,420
0.034,-419.922,-774.902,-478.516,784.180,420
0.038,-957.031,804.688,-661.133,-780.762,420
0.042,649.902,635.742,-663.574,-571.289,420
0.046,-990.234,-1000.000,-449.707,-948.730,420
0.050,-927.734,-973.145,-409.668,926.758,420
0.054,743.164,666.992,-665.039,-706.055,420
0.058,-994.141,981.445,-708.496,-962.402,420
0.062,-709.473,-683.594,-551.270,690.918,420
0.066,-1000.000,-1000.000,-368.652,-812.500,420
0.069,668.457,420.898,-597.656,-346.680,420
0.073,-954.102,991.211,-732.910,-996.582,420
0.077,-563.965,-565.430,-542.480,546.875,420
0.081,-1000.000,-1000.000,-210.938,-766.602,420
0.085,225.098,-400.391,-523.438,506.836,420
0.089,-823.242,972.168,-755.371,-930.176,420
0.093,-7.324,-41.504,-607.422,76.660,420
0.097,-1000.000,-1000.000,-230.469,-797.363,420
0.101,-641.113,-865.723,-441.406,854.980,420
0.105,967.285,723.633,-744.141,-716.309,420
0.108,746.094,770.020,-629.395,-756.348,420
0.112,-932.617,-971.680,-470.703,975.586,420
0.116,-715.820,-712.402,-456.543,624.512,420
0.120,792.480,791.992,-654.785,-812.500,420
0.124,959.473,936.523,-630.859,-947.266,420
0.128,-671.875,-616.699,-533.203,558.105,420
0.132,-1000.000,-1000.000,-384.277,-766.113,420
0.136,564.941,263.184,-599.121,-129.395,420
0.140,-907.715,-971.680,-732.910,-1000.000,420
0.144,-452.148,-459.473,-603.027,438.965,420
0.147,-1000.000,-1000.000,-357.422,-768.555,420
0.151,5.859,-593.750,-538.574,606.934,420
0.155,-846.191,916.504,-717.773,-897.949,420
0.159,212.891,210.938,-623.535,-143.066,420
0.163,-1000.000,-1000.000,-376.953,-833.984,420
0.167,-759.766,-921.387,-482.910,873.047,420
0.171,864.746,663.574,-623.535,-691.406,420
0.175,884.766,881.348,-624.023,-900.879,420
0.179,-826.172,-857.422,-548.340,814.453,420
0.183,-1000.000,-1000.000,-424.316,-907.715,420
0.187,677.246,600.098,-634.766,-536.621,420
0.190,-996.582,982.422,-729.980,-1000.000,420
0.194,-680.176,-620.117,-583.496,572.754,420
0.198,-1000.000,-1000.000,-310.059,-763.184,420
0.202,456.543,21.484,-564.453,88.379,420
0.206,-871.094,-968.262,-749.512,-1000.000,420
0.210,-337.891,-330.078,-608.398,325.684,420
0.214,-1000.000,-1000.000,-258.301,-782.715,420
0.218,-215.332,-704.590,-405.762,732.910,420
0.222,-892.578,855.957,-732.910,-809.570,420
0.226,430.176,441.895,-678.711,-367.188,420
0.229,-1000.000,-1000.000,-310.059,-882.324,420
0.233,-900.391,-946.289,-385.254,896.973,420
0.237,733.398,662.598,-732.910,-693.359,420
0.241,993.164,948.242,-683.594,-953.613,420
0.245,-729.980,-750.977,-541.992,729.492,420
0.249,-1000.000,-1000.000,-416.016,-851.562,420
0.253,683.594,501.953,-643.555,-444.336,420
0.257,997.070,977.051,-708.008,-1000.000,420
0.261,-665.527,-602.539,-496.094,558.594,420
0.265,-1000.000,-1000.000,-295.898,-760.254,420
0.268,345.703,-235.840,-567.871,301.270,420
0.272,-849.121,-998.535,-706.055,-979.004,420
0.276,-217.285,-194.336,-596.680,205.566,420
0.280,-1000.000,-1000.000,-404.297,-794.922,420
0.284,-542.969,-797.363,-544.434,814.453,420
0.288,982.910,776.855,-705.078,-740.723,420
0.292,708.496,684.570,-647.461,-650.879,420
0.296,-948.242,-1000.000,-462.402,-978.516,420
0.300,-997.559,-980.469,-483.398,935.059,420
0.304,664.062,668.457,-641.602,-695.801,420
0.307,-980.957,987.305,-648.438,-1000.000,420
0.311,-711.914,-665.039,-573.242,619.141,420
0.315,-1000.000,-1000.000,-355.469,-800.781,420
0.319,669.922,381.836,-556.641,-348.633,420
0.323,-959.961,999.023,-719.727,-997.559,420
0.327,-554.688,-543.457,-586.426,546.875,420
0.331,-1000.000,-1000.000,-314.453,-766.602,420
0.335,138.184,-475.586,-557.129,506.836,420
0.339,-836.914,956.543,-745.117,-935.547,420
0.343,-4.883,3.418,-640.625,83.008,420
0.347,-1000.000,-1000.000,-356.445,-799.316,420
0.350,-610.352,-783.691,-419.922,754.395,420
0.354,917.969,720.703,-681.152,-728.027,420
0.358,823.242,805.176,-683.105,-795.410,420
0.362,-861.328,-919.434,-418.457,911.133,420
0.366,-1000.000,-1000.000,-180.176,-976.074,420
0.370,672.852,650.879,-600.586,-620.605,420
0.374,-989.258,985.840,-756.836,-1000.000,420
0.378,-695.312,-633.789,-530.762,588.867,420
0.382,-1000.000,-1000.000,-280.762,-775.391,420
0.386,566.895,195.312,-584.473,-128.906,420
0.389,-917.969,-969.238,-739.258,-1000.000,420
0.393,-438.477,-429.199,-550.781,441.406,420
0.397,-1000.000,-1000.000,-270.508,-778.320,420
0.401,-170.410,-629.395,-528.320,655.273,420
0.405,-891.113,900.879,-742.188,-853.516,420
0.409,313.477,277.344,-565.918,-153.809,420
0.413,-1000.000,-1000.000,-364.746,-830.566,420
0.417,-816.406,-927.734,-528.809,872.559,420
0.421,814.453,662.109,-705.078,-688.965,420
0.425,933.105,907.715,-614.258,-911.621,420
0.428,-787.109,-821.289,-506.348,805.176,420
0.432,-1000.000,-1000.000,-444.824,-905.273,420
0.436,679.688,572.266,-632.324,-537.109,420
0.440,-997.070,981.445,-712.402,-1000.000,420
0.444,-678.223,-615.234,-565.918,570.312,420
0.448,-1000.000,-1000.000,-273.926,-761.719,420
0.452,448.242,-44.922,-544.434,125.000,420
0.456,-880.859,-970.703,-634.277,-992.188,420
0.460,-325.684,-291.992,-521.973,322.754,420
0.464,-1000.000,-1000.000,-397.949,-793.945,420
0.467,-412.109,-734.863,-541.992,769.531,420
0.471,-961.426,833.008,-731.934,-782.715,420
0.475,610.352,522.461,-677.734,-509.766,420
0.479,-1000.000,-1000.000,-427.734,-927.734,420
0.483,-920.410,-956.543,-450.195,916.992,420
0.487,740.234,662.109,-691.895,-699.219,420
0.491,-993.652,970.215,-682.617,-969.727,420
0.495,-708.008,-712.891,-517.578,702.637,420
0.499,-1000.000,-1000.000,-259.766,-838.379,420
0.503,686.523,473.145,-559.570,-421.387,420
0.507,990.723,976.562,-751.465,-999.512,420
0.510,-652.832,-598.633,-556.152,552.246,420
0.514,-1000.000,-1000.000,-203.613,-768.555,420
0.518,255.859,-297.363,-518.066,473.145,420
0.522,-844.238,992.188,-771.973,-937.500,420
0.526,-144.531,-140.137,-624.023,101.074,420
0.530,-1000.000,-1000.000,-378.906,-799.316,420
0.534,-615.234,-829.102,-519.043,854.004,420
0.538,953.125,744.141,-709.961,-698.730,420
0.542,750.488,718.750,-636.230,-774.414,420
0.546,-929.199,-997.070,-324.707,971.680,420
0.549,-1000.000,-985.840,-323.242,955.078,420
0.553,666.992,669.434,-695.312,-703.613,420
0.557,-985.352,989.746,-686.035,-1000.000,420
0.561,-701.172,-653.320,-536.621,599.121,420
0.565,-1000.000,-1000.000,-364.258,-790.527,420
0.569,620.605,348.145,-604.004,-250.000,420
0.573,-961.426,-988.770,-721.680,-1000.000,420
0.577,-544.922,-517.578,-586.426,493.652,420
0.581,-1000.000,-1000.000,-363.770,-781.250,420
0.585,11.230,-533.203,-548.828,609.375,420
0.588,-853.027,934.570,-674.805,-896.973,420
0.592,170.898,101.562,-609.863,-143.066,420
0.596,-1000.000,-1000.000,-406.250,-833.496,420
0.600,-729.492,-903.320,-513.184,876.465,420
0.604,893.066,673.828,-712.891,-701.660,420
0.608,848.145,844.238,-669.922,-846.680,420
0.612,-858.887,-903.320,-503.906,889.648,420
0.616,-1000.000,-1000.000,-400.879,-970.215,420
0.620,675.781,635.254,-645.508,-624.512,420
0.624,-995.605,984.375,-721.680,-1000.000,420
0.628,-681.152,-628.418,-551.270,576.660,420
0.631,-1000.000,-1000.000,-241.211,-768.066,420
0.635,474.121,128.906,-535.645,57.129,420
0.639,-886.230,-961.914,-732.422,-1000.000,420
0.643,-372.070,-381.836,-589.355,335.938,420
0.647,-1000.000,-1000.000,-301.270,-777.344,420
0.651,-208.496,-665.039,-495.117,698.730,420
0.655,-892.578,881.348,-737.793,-846.680,420
0.659,434.570,362.305,-652.344,-359.375,420
0.663,-1000.000,-1000.000,-341.797,-884.277,420
0.667,-834.473,-938.477,-380.859,900.391,420
0.670,823.730,665.039,-692.871,-704.102,420
0.674,930.664,916.504,-710.938,-907.715,420
0.678,-787.109,-800.781,-426.758,791.016,420
0.682,-1000.000,-1000.000,-35.645,-881.348,420
0.686,682.129,541.992,-467.285,-484.863,420
0.690,996.094,979.980,-743.652,-1000.000,420
0.694,-665.039,-609.863,-543.457,560.547,420
0.698,-1000.000,-1000.000,-310.547,-762.207,420
0.702,347.168,-128.418,-590.332,301.270,420
0.706,-848.145,-979.980,-745.117,-978.027,420
0.709,-235.352,-245.117,-613.770,202.148,420
0.713,-1000.000,-1000.000,-381.836,-778.320,420
0.717,-412.598,-755.859,-541.504,774.902,420
0.721,-958.984,809.082,-721.191,-778.809,420
0.725,547.852,497.559,-624.512,-471.680,420
0.729,-1000.000,-1000.000,-372.070,-914.551,420
0.733,-933.594,-951.172,-432.617,910.645,420
0.737,706.543,657.227,-674.805,-697.266,420
0.741,-986.328,981.445,-588.379,-967.773,420
0.745,-709.473,-692.383,-525.391,695.312,420
0.748,-1000.000,-1000.000,-403.320,-823.242,420
0.752,679.688,439.453,-591.797,-377.441,420
0.756,-988.281,984.863,-721.680,-997.070,420
0.760,-617.188,-578.125,-606.934,548.828,420
0.764,-1000.000,-1000.000,-324.219,-768.066,420
0.768,225.586,-374.023,-525.391,506.836,420
0.772,-824.219,975.586,-710.938,-930.176,420
0.776,-7.324,-74.707,-634.766,76.172,420
0.780,-1000.000,-1000.000,-390.137,-797.363,420
0.784,-632.324,-854.980,-461.426,854.980,420
0.788,960.938,718.750,-702.637,-699.707,420
0.791,756.348,762.207,-707.520,-773.926,420
0.795,-923.340,-975.098,-456.543,970.215,420
0.799,-1000.000,-993.164,-346.191,959.473,420
0.803,668.457,672.852,-646.484,-697.754,420
0.807,-988.770,989.258,-732.910,-1000.000,420
0.811,-694.824,-642.578,-539.551,590.820,420
0.815,-1000.000,-1000.000,-202.148,-779.785,420
0.819,568.359,289.062,-528.809,-161.621,420
0.823,-917.480,-979.980,-754.395,-1000.000,420
0.827,-470.703,-482.910,-518.555,461.914,420
0.830,-1000.000,-1000.000,-125.977,-772.949,420
0.834,6.348,-578.613,-483.887,607.422,420
0.838,-846.680,917.969,-769.531,-897.461,420
0.842,212.402,166.016,-627.441,-143.066,420
0.846,-1000.000,-1000.000,-226.074,-833.496,420
0.850,-778.809,-917.480,-411.133,876.465,420
0.854,856.934,665.039,-750.488,-703.125,420
0.858,856.934,860.840,-648.926,-841.797,420
0.862,-861.328,-882.812,-494.141,877.930,420
0.866,-1000.000,-1000.000,-357.422,-938.965,420
0.869,675.781,612.305,-630.371,-564.941,420
0.873,-996.582,982.422,-651.367,-1000.000,420
0.877,-680.176,-621.582,-478.027,573.242,420
0.881,-1000.000,-1000.000,-309.082,-764.160,420
0.885,456.543,42.480,-578.613,87.402,420
0.889,-871.094,-972.656,-740.723,-1000.000,420
0.893,-338.379,-351.562,-612.305,327.637,420
0.897,-1000.000,-1000.000,-347.168,-774.414,420
0.901,-209.961,-695.312,-529.785,698.242,420
0.905,-890.625,861.816,-731.445,-846.680,420
0.909,430.664,426.758,-659.668,-359.375,420
0.912,-1000.000,-1000.000,-354.492,-884.277,420
0.916,-885.254,-945.312,-378.418,898.438,420
0.920,765.137,663.574,-611.816,-698.730,420
0.924,950.195,940.430,-648.926,-931.641,420
0.928,-779.785,-765.625,-552.246,753.418,420
0.932,-1000.000,-1000.000,-339.844,-856.934,420
0.936,682.617,518.066,-601.562,-443.359,420
0.940,996.094,978.027,-739.746,-1000.000,420
0.944,-665.527,-604.980,-584.961,558.594,420
0.948,-1000.000,-1000.000,-227.539,-760.254,420
0.951,345.215,-201.660,-509.766,301.270,420
0.955,-848.145,-993.652,-770.020,-978.516,420
0.959,-218.262,-212.891,-624.023,204.590,420
0.963,-1000.000,-1000.000,-283.203,-791.504,420
0.967,-520.996,-788.574,-464.355,804.688,420
0.971,-1000.000,787.598,-753.418,-751.953,420
0.975,661.133,647.949,-688.965,-610.352,420
0.979,-979.980,-1000.000,-295.898,-961.914,420
0.983,-988.770,-974.121,-159.180,927.246,420
0.987,660.645,666.992,-669.922,-691.406,420
0.990,-980.469,983.398,-727.539,-1000.000,420
0.994,-711.426,-674.316,-534.180,612.305,420
0.998,-1000.000,-1000.000,-335.449,-799.805,420
1.002,668.945,396.484,-610.352,-348.633,420
1.006,-956.055,991.211,-727.051,-998.047,420
1.010,-561.523,-559.082,-569.336,546.875,420
1.014,-1000.000,-1000.000,-307.129,-766.602,420
1.018,201.172,-446.777,-529.785,506.836,420
1.022,-829.102,959.473,-735.840,-930.176,420
1.026,-5.859,-10.254,-547.363,76.660,420
1.029,-1000.000,-1000.000,-343.750,-798.340,420
1.033,-700.195,-876.465,-521.973,853.516,420
1.037,907.715,696.777,-708.984,-691.895,420
1.041,774.902,802.246,-670.410,-825.195,420
1.045,-924.805,-944.336,-485.840,908.691,420
1.049,-1000.000,-1000.000,-424.316,-976.074,420
1.053,668.945,655.273,-618.652,-621.582,420
1.057,-988.770,986.816,-663.086,-1000.000,420
1.061,-695.312,-635.254,-571.777,588.867,420
1.065,-1000.000,-1000.000,-308.105,-775.391,420
