timestamps,TP9,AF7,AF8,TP10,Marker0
1614035079.138,534.180,550.781,-701.660,-1000.000,Default
1614035079.142,-1000.000,-977.539,-504.883,497.559,0
1614035079.146,-1000.000,-1000.000,-444.336,-791.504,0
1614035079.150,438.477,64.941,-662.109,58.594,0
1614035079.154,-940.430,-965.332,-683.594,-1000.000,0
1614035079.158,-415.039,-397.949,-535.156,-129.395,0
1614035079.162,-1000.000,-1000.000,-389.648,-773.438,0
1614035079.166,-114.746,-208.496,-642.090,213.379,0
1614035079.169,-803.223,-846.680,-630.371,-1000.000,1
1614035079.173,224.121,182.617,-595.703,-278.809,1
1614035079.177,-1000.000,-1000.000,-498.047,-803.711,1
1614035079.181,-226.074,-459.961,-492.676,502.441,1
1614035079.185,-915.527,982.910,-650.879,-983.398,1
1614035079.189,58.105,72.266,-684.082,-411.621,1
1614035079.193,-1000.000,-1000.000,-412.109,912.109,1
1614035079.197,-641.602,-1000.000,-354.492,-908.691,1
1614035079.201,996.582,535.645,-623.047,-313.965,1
1614035079.205,638.184,668.457,-644.531,-1000.000,1
1614035079.208,-927.246,-907.715,-477.051,370.117,0
1614035079.212,-1000.000,-1000.000,-376.465,-774.414,0
1614035079.216,217.773,-85.449,-558.105,186.523,0
1614035079.220,-818.848,-887.207,-597.168,-1000.000,0
1614035079.224,-143.066,-180.664,-613.770,-269.531,0
1614035079.228,-1000.000,-1000.000,-430.176,-797.852,0
1614035079.232,-228.516,-219.238,-559.570,281.250,0
1614035079.236,-814.941,-829.102,-661.133,-1000.000,1
1614035079.240,218.262,228.027,-703.125,-337.891,1
1614035079.244,-1000.000,-1000.000,-454.102,-880.859,1
1614035079.247,-229.492,-520.996,-401.855,757.324,1
1614035079.251,-836.914,-971.191,-616.211,-856.934,1
1614035079.255,338.379,321.777,-683.594,-822.266,1
1614035079.259,-1000.000,-1000.000,-421.875,746.094,1
1614035079.263,-792.480,-1000.000,-241.211,-847.656,1
1614035079.267,820.801,321.289,-624.512,-150.879,1
1614035079.271,813.965,828.613,-704.102,-1000.000,1
1614035079.275,-749.023,-733.398,-528.320,78.125,1
1614035079.279,-1000.000,-1000.000,-382.812,-757.324,1
1614035079.283,106.934,-183.594,-625.488,195.801,1
1614035079.287,-798.340,-871.582,-656.250,-1000.000,0
1614035079.290,-7.812,-30.273,-611.816,-274.414,0
1614035079.294,-1000.000,-1000.000,-444.824,-800.293,0
1614035079.298,-238.770,-287.109,-519.531,390.625,0
1614035079.302,-820.312,-849.609,-636.719,-1000.000,0
1614035079.306,242.188,246.582,-632.812,-379.395,0
1614035079.310,-1000.000,-1000.000,-275.879,-910.156,0
1614035079.314,-466.309,-771.484,-311.035,854.492,0
1614035079.318,-885.742,877.930,-688.477,-700.195,1
1614035079.322,448.730,471.191,-674.316,-931.641,1
1614035079.326,-1000.000,-1000.000,-517.578,612.305,1
1614035079.329,-908.691,-1000.000,-456.055,-813.965,1
1614035079.333,603.516,151.367,-633.301,-38.574,1
1614035079.337,-954.590,973.145,-679.688,-1000.000,1
1614035079.341,-431.152,-517.578,-558.105,-35.645,1
1614035079.345,-1000.000,-1000.000,-383.301,-763.672,1
1614035079.349,-6.836,-201.660,-579.102,205.078,1
1614035079.353,-791.992,-854.492,-594.238,-1000.000,1
1614035079.357,105.957,99.121,-667.969,-275.879,1
1614035079.361,-1000.000,-1000.000,-488.770,-812.500,1
1614035079.365,-250.000,-407.715,-498.535,498.535,1
1614035079.369,-816.406,-881.348,-659.180,-1000.000,1
1614035079.372,242.188,249.023,-707.031,-532.227,0
1614035079.376,-1000.000,-1000.000,-458.984,992.676,0
1614035079.380,-561.035,-924.805,-360.840,997.070,0
1614035079.384,-946.289,668.457,-636.719,-467.285,0
1614035079.388,613.281,608.887,-698.242,-1000.000,0
1614035079.392,-967.285,-943.848,-525.879,382.324,0
1614035079.396,-1000.000,-1000.000,-327.637,-775.879,0
1614035079.400,409.668,-2.930,-543.457,74.707,0
1614035079.404,-847.168,-923.828,-691.895,-1000.000,0
1614035079.408,-229.492,-300.781,-589.844,-159.668,0
1614035079.411,-1000.000,-1000.000,-361.816,-778.320,0
1614035079.415,-158.691,-211.914,-570.312,217.285,1
1614035079.419,-807.129,-841.309,-683.594,-1000.000,1
1614035079.423,225.098,212.891,-659.180,-273.926,1
1614035079.427,-1000.000,-1000.000,-457.520,-829.590,1
