timestamps,TP9,AF7,AF8,TP10
1613620163.112,-574.219,-793.945,376.953,677.734
1613620163.116,952.148,756.836,-205.078,-908.691
1613620163.120,-934.570,-906.738,-1000.000,-1000.000
1613620163.124,-338.867,-293.945,-785.156,22.461
1613620163.128,-1000.000,-1000.000,263.672,-854.980
1613620163.132,324.707,54.688,56.152,-181.641
1613620163.136,-768.066,-771.973,-919.434,-1000.000
1613620163.139,176.758,173.340,-954.102,-219.727
1613620163.143,-1000.000,-1000.000,4.395,-833.008
1613620163.147,-266.113,-264.160,366.699,245.117
1613620163.151,-796.387,-806.641,-615.234,-1000.000
1613620163.155,227.539,275.879,-1000.000,-496.094
1613620163.157,-1000.000,-1000.000,-278.809,-896.973
1613620163.161,-271.973,-474.609,462.891,347.168
1613620163.165,-830.566,-919.922,-379.883,-1000.000
1613620163.169,616.699,691.406,-1000.000,-1000.000
1613620163.173,-1000.000,-902.344,-621.582,509.277
1613620163.177,-664.551,-958.496,394.531,821.777
1613620163.181,878.906,528.809,-24.414,-744.141
1613620163.184,-870.605,-825.195,-1000.000,-1000.000
1613620163.188,-158.203,-117.676,-871.094,-137.695
1613620163.192,-1000.000,-1000.000,243.164,-863.770
1613620163.196,165.039,-57.129,143.555,-71.289
1613620163.200,-751.465,-775.879,-914.062,-1000.000
1613620163.204,187.988,209.473,-1000.000,-224.121
1613620163.208,-1000.000,-1000.000,-29.785,-832.031
1613620163.212,-273.438,-271.973,434.082,245.117
1613620163.216,-799.805,-809.082,-593.750,-1000.000
1613620163.220,341.309,385.742,-1000.000,-647.461
1613620163.224,-1000.000,-1000.000,-279.297,-983.398
1613620163.228,-377.441,-586.914,473.633,458.496
1613620163.231,-894.043,-997.070,-385.742,-1000.000
1613620163.235,779.297,829.102,-1000.000,-1000.000
1613620163.239,-793.457,-701.660,-599.121,254.395
1613620163.243,-932.617,-1000.000,399.414,-950.195
1613620163.247,596.191,284.668,-47.852,-429.199
1613620163.262,-819.824,-796.875,-1000.000,-1000.000
1613620163.266,-69.336,-36.133,-901.855,-207.520
1613620163.270,-1000.000,-1000.000,117.188,-839.844
1613620163.274,-32.715,-210.938,244.629,134.766
1613620163.278,-766.602,-806.152,-737.305,-1000.000
1613620163.282,205.078,230.469,-1000.000,-275.879
1613620163.286,-1000.000,-1000.000,-133.789,-828.613
1613620163.289,-275.391,-302.734,446.777,237.793
1613620163.293,-808.594,-826.172,-461.914,-1000.000
1613620163.297,448.242,484.375,-1000.000,-787.598
1613620163.301,-1000.000,-1000.000,-463.379,858.887
1613620163.305,-485.840,-708.008,407.715,583.008
1613620163.307,-987.305,863.281,-240.234,-967.285
1613620163.311,975.586,-996.094,-1000.000,-1000.000
1613620163.315,-492.188,-448.730,-754.395,123.047
1613620163.319,-1000.000,-1000.000,290.039,-848.145
1613620163.323,425.293,143.066,30.762,-249.023
1613620163.327,-835.938,-774.414,-963.867,-1000.000
1613620163.331,-14.648,108.887,-944.824,-130.859
1613620163.334,-1000.000,-1000.000,38.574,-844.238
1613620163.338,-151.367,-254.395,396.484,244.629
1613620163.342,-779.297,-807.617,-578.613,-1000.000
1613620163.346,215.332,236.328,-1000.000,-455.078
1613620163.350,-1000.000,-1000.000,-197.754,-883.789
1613620163.352,-274.902,-387.207,464.844,252.441
1613620163.356,-825.684,-873.535,-472.656,-1000.000
1613620163.360,581.543,616.211,-1000.000,-906.738
1613620163.364,-1000.000,-1000.000,-534.668,678.711
1613620163.368,-632.324,-812.500,387.207,734.375
1613620163.372,904.297,746.094,-142.578,-859.863
1613620163.376,-879.883,-871.094,-1000.000,-1000.000
1613620163.379,-312.988,-313.477,-726.562,63.477
1613620163.383,-1000.000,-1000.000,271.484,-981.445
1613620163.387,464.844,284.180,-85.938,-376.465
1613620163.391,-777.832,-796.387,-932.129,-1000.000
1613620163.395,181.641,187.500,-952.637,-220.703
1613620163.397,-1000.000,-1000.000,14.160,-840.332
1613620163.401,-270.996,-268.066,340.820,247.559
1613620163.405,-795.410,-806.152,-636.230,-1000.000
1613620163.409,293.457,315.918,-1000.000,-538.086
1613620163.413,-1000.000,-1000.000,-326.660,-984.863
1613620163.417,-289.062,-500.977,453.613,292.969
1613620163.421,-854.980,-938.965,-373.535,-1000.000
1613620163.424,718.750,741.699,-1000.000,-1000.000
1613620163.428,-881.836,-827.637,-638.184,457.031
1613620163.432,-826.172,-1000.000,323.242,949.219
1613620163.436,734.375,448.242,-62.012,-583.496
1613620163.440,-847.168,-821.289,-1000.000,-1000.000
1613620163.444,-151.855,-115.723,-844.238,-134.766
1613620163.448,-1000.000,-1000.000,229.004,-839.355
1613620163.452,77.148,-132.812,181.641,21.484
1613620163.456,-757.812,-791.992,-820.801,-1000.000
1613620163.460,195.312,219.238,-1000.000,-234.375
1613620163.464,-1000.000,-1000.000,-94.727,-826.172
1613620163.468,-275.391,-271.484,441.406,244.141
1613620163.471,-804.688,-811.035,-479.980,-1000.000
1613620163.475,404.785,421.387,-1000.000,-648.926
1613620163.479,-1000.000,-1000.000,-424.805,-988.281
1613620163.483,-438.477,-610.840,460.449,531.250
1613620163.487,-940.430,971.680,-259.277,-982.910
1613620163.487,882.324,901.855,-1000.000,-1000.000
1613620163.491,-666.504,-598.633,-708.984,224.121
1613620163.495,-970.703,-1000.000,336.914,-936.523
1613620163.499,564.941,246.582,-3.418,-399.414
1613620163.503,-807.129,-787.598,-1000.000,-1000.000
1613620163.507,-40.039,15.625,-917.480,-207.520
1613620163.511,-1000.000,-1000.000,159.180,-842.285
1613620163.514,-36.133,-230.469,350.586,144.043
1613620163.518,-764.648,-807.129,-729.004,-1000.000
1613620163.522,205.078,232.422,-1000.000,-345.703
1613620163.526,-1000.000,-1000.000,-143.066,-851.562
1613620163.530,-276.855,-319.336,440.430,246.582
1613620163.532,-816.895,-836.914,-495.605,-1000.000
1613620163.536,528.320,537.598,-1000.000,-811.523
1613620163.540,-1000.000,-1000.000,-465.332,817.383
1613620163.544,-565.430,-742.676,417.480,658.691
1613620163.548,980.469,824.707,-219.238,-908.203
1613620163.552,-998.535,-951.172,-1000.000,-1000.000
1613620163.556,-469.727,-373.535,-712.402,40.527
1613620163.559,-1000.000,-1000.000,308.594,-857.910
1613620163.563,377.930,104.980,26.855,-202.637
1613620163.567,-773.438,-770.508,-950.195,-1000.000
1613620163.571,118.164,156.250,-933.594,-218.262
1613620163.575,-1000.000,-1000.000,23.926,-833.008
1613620163.577,-157.715,-261.719,311.523,244.141
1613620163.581,-773.438,-805.664,-674.805,-1000.000
1613620163.585,214.355,258.301,-1000.000,-462.402
1613620163.589,-1000.000,-1000.000,-255.859,-882.324
1613620163.593,-274.414,-425.293,445.312,351.562
1613620163.597,-830.566,-889.648,-400.391,-1000.000
1613620163.601,616.699,640.137,-1000.000,-918.945
1613620163.604,-1000.000,-946.289,-597.656,659.180
1613620163.608,-671.875,-935.059,386.719,810.547
1613620163.612,893.066,574.219,-56.641,-751.953
1613620163.616,-896.484,-859.863,-1000.000,-1000.000
1613620163.620,-261.719,-219.238,-812.500,-52.734
1613620163.637,-1000.000,-1000.000,279.785,-843.750
1613620163.641,187.500,-46.875,149.902,-83.008
1613620163.645,-756.348,-781.250,-876.953,-1000.000
1613620163.649,187.500,209.961,-1000.000,-226.074
1613620163.653,-1000.000,-1000.000,-56.152,-830.078
1613620163.657,-272.949,-269.531,410.156,245.605
1613620163.661,-799.316,-807.129,-567.871,-1000.000
1613620163.664,333.008,340.332,-1000.000,-559.570
1613620163.668,-1000.000,-1000.000,-303.223,-928.223
1613620163.672,-378.418,-548.828,548.828,443.848
1613620163.676,-890.137,-978.516,-287.109,-1000.000
1613620163.680,767.090,812.012,-1000.000,-1000.000
1613620163.682,-876.953,-791.016,-625.977,373.047
1613620163.686,-770.996,-970.215,280.762,846.680
1613620163.690,819.824,550.293,-164.062,-756.348
1613620163.694,-851.562,-823.730,-1000.000,-1000.000
1613620163.698,-117.676,-67.871,-849.121,-194.824
1613620163.702,-1000.000,-1000.000,210.449,-862.793
1613620163.706,73.730,-158.203,168.457,31.738
1613620163.709,-755.859,-793.945,-855.957,-1000.000
1613620163.713,194.824,221.680,-1000.000,-257.812
1613620163.717,-1000.000,-1000.000,-77.148,-833.984
1613620163.721,-276.367,-272.461,385.742,240.723
1613620163.725,-806.641,-814.453,-562.012,-1000.000
1613620163.727,433.594,460.449,-1000.000,-761.230
1613620163.731,-1000.000,-1000.000,-436.035,889.160
1613620163.735,-481.445,-670.410,418.457,568.359
1613620163.739,-953.125,922.363,-264.160,-973.145
1613620163.743,882.812,931.641,-1000.000,-1000.000
