timestamps,TP9,AF7,AF8,TP10
1613619933.163,-1000.000,-1000.000,469.727,987.793
1613619933.167,657.227,665.039,-58.594,-642.578
1613619933.171,-920.898,-947.266,-1000.000,-1000.000
1613619933.175,-627.930,-585.938,-816.406,289.551
1613619933.179,-1000.000,-1000.000,359.863,-955.566
1613619933.183,588.867,351.562,220.703,-452.637
1613619933.187,-798.828,-813.965,-873.047,-1000.000
1613619933.190,36.621,8.789,-1000.000,-577.148
1613619933.194,-1000.000,-1000.000,-4.883,946.777
1613619933.198,19.531,-462.402,474.121,291.504
1613619933.202,-823.730,-970.703,-661.621,-1000.000
1613619933.206,732.422,757.324,-1000.000,-933.594
1613619933.221,-864.746,-892.578,-294.922,666.504
1613619933.225,-822.754,-978.516,510.254,892.578
1613619933.229,900.879,715.332,-414.062,-866.211
1613619933.233,970.703,-991.699,-1000.000,-1000.000
1613619933.237,-703.125,-705.566,-641.602,665.527
1613619933.241,-1000.000,-1000.000,464.844,985.352
1613619933.245,645.508,634.277,92.773,-640.137
1613619933.248,-891.602,-933.105,-1000.000,-1000.000
1613619933.252,-530.273,-525.879,-876.465,200.684
1613619933.256,-1000.000,-1000.000,350.586,-902.344
1613619933.260,444.824,176.758,296.875,-303.223
1613619933.264,-779.785,-810.547,-851.562,-1000.000
1613619933.266,347.168,279.297,-1000.000,-703.613
1613619933.270,-1000.000,-1000.000,-90.820,871.094
1613619933.274,-206.543,-615.234,483.398,511.230
1613619933.278,-867.676,968.750,-608.887,-1000.000
1613619933.282,829.102,882.324,-1000.000,-958.496
1613619933.286,-774.902,-779.297,-359.375,666.504
1613619933.290,-914.551,-1000.000,562.012,950.684
1613619933.293,834.961,685.059,-166.016,-767.578
1613619933.297,988.281,-991.211,-1000.000,-1000.000
1613619933.301,-710.938,-693.359,-637.207,565.430
1613619933.305,-1000.000,-1000.000,473.145,980.957
1613619933.309,629.883,537.109,118.164,-617.188
1613619933.311,-856.445,-887.695,-950.195,-1000.000
1613619933.315,-394.043,-387.695,-946.289,-84.961
1613619933.319,-1000.000,-1000.000,171.875,-933.105
1613619933.323,287.598,-89.844,423.828,-171.387
1613619933.327,-783.203,-863.281,-712.402,-1000.000
1613619933.331,405.273,430.176,-1000.000,-762.207
1613619933.335,-1000.000,-1000.000,-143.066,821.289
1613619933.338,-493.164,-798.340,506.836,745.117
1613619933.342,-974.121,851.074,-486.816,-972.656
1613619933.346,922.852,948.730,-1000.000,-992.676
1613619933.350,-706.055,-748.535,-508.301,669.922
1613619933.354,-991.211,-1000.000,485.840,996.582
1613619933.357,759.766,676.758,-6.348,-657.715
1613619933.361,-994.141,-984.375,-1000.000,-1000.000
1613619933.365,-717.773,-666.016,-810.059,396.973
1613619933.369,-1000.000,-1000.000,381.348,-967.773
1613619933.373,613.281,438.965,137.695,-508.301
1613619933.377,-826.172,-840.820,-931.152,-1000.000
1613619933.381,-247.070,-195.312,-1000.000,-370.605
1613619933.384,-1000.000,-1000.000,85.449,-988.770
1613619933.388,172.852,-312.500,510.254,70.312
1613619933.392,-796.875,-921.387,-686.523,-1000.000
1613619933.396,624.023,635.254,-1000.000,-847.656
1613619933.400,-956.543,-972.656,-201.660,736.328
1613619933.403,-719.727,-916.992,539.062,877.441
1613619933.407,957.520,760.742,-443.848,-874.023
1613619933.411,953.125,996.094,-1000.000,-1000.000
1613619933.415,-694.824,-716.797,-518.066,680.664
1613619933.419,-1000.000,-1000.000,510.742,988.281
1613619933.423,660.645,668.945,-15.137,-645.508
1613619933.427,-931.152,-958.008,-1000.000,-1000.000
1613619933.430,-616.211,-586.426,-771.973,289.551
1613619933.434,-1000.000,-1000.000,415.039,-929.199
1613619933.438,506.348,292.480,293.457,-403.809
1613619933.442,-797.852,-820.312,-849.609,-1000.000
1613619933.446,-9.277,0.488,-1000.000,-585.938
1613619933.446,-1000.000,-1000.000,-20.020,952.148
1613619933.450,-51.758,-553.223,446.289,406.738
1613619933.454,-842.285,990.234,-641.113,-1000.000
1613619933.458,735.840,769.531,-1000.000,-946.777
1613619933.462,-874.023,-896.484,-311.523,658.691
1613619933.466,-832.031,-996.094,531.738,958.008
1613619933.470,889.648,690.430,-310.059,-782.227
1613619933.473,973.145,-987.793,-1000.000,-1000.000
1613619933.477,-704.102,-707.031,-663.574,636.719
1613619933.481,-1000.000,-1000.000,414.551,981.445
1613619933.485,644.043,620.117,34.180,-625.977
1613619933.489,-890.137,-907.227,-1000.000,-1000.000
1613619933.492,-505.859,-457.520,-921.387,59.570
1613619933.496,-1000.000,-1000.000,222.168,-926.758
1613619933.500,393.066,110.352,381.836,-274.414
1613619933.504,-782.715,-824.219,-778.320,-1000.000
1613619933.508,278.809,253.418,-1000.000,-682.617
1613619933.512,-1000.000,-1000.000,-83.496,893.066
1613619933.516,-285.156,-723.145,545.898,683.594
1613619933.519,-898.926,901.855,-551.270,-998.047
1613619933.523,843.750,888.184,-1000.000,-983.398
1613619933.527,-781.738,-804.199,-401.367,663.574
1613619933.531,-913.574,-1000.000,568.848,-995.117
1613619933.535,833.984,676.270,-165.039,-673.340
1613619933.536,988.281,-989.258,-1000.000,-1000.000
1613619933.540,-712.891,-697.754,-731.445,510.742
1613619933.544,-1000.000,-1000.000,410.156,982.422
1613619933.548,619.141,537.109,100.098,-611.328
1613619933.552,-834.473,-864.258,-987.305,-1000.000
1613619933.556,-328.613,-319.336,-918.945,-164.551
1613619933.560,-1000.000,-1000.000,287.109,-937.500
1613619933.563,277.832,-118.652,445.312,-59.082
1613619933.567,-783.203,-865.723,-740.723,-1000.000
1613619933.571,537.598,492.188,-1000.000,-771.973
1613619933.575,-1000.000,-1000.000,-144.531,820.312
1613619933.579,-528.809,-836.914,540.527,793.457
1613619933.583,-971.191,824.707,-517.090,-934.570
1613619933.587,924.805,962.402,-1000.000,-1000.000
1613619933.591,-683.594,-739.746,-515.625,673.340
1613619933.595,-1000.000,-1000.000,477.539,995.605
1613619933.599,695.801,677.246,-88.867,-658.691
1613619933.603,-983.398,-984.863,-1000.000,-1000.000
1613619933.607,-720.703,-652.832,-787.109,389.160
1613619933.610,-1000.000,-1000.000,372.070,-947.266
1613619933.614,604.004,389.160,204.590,-469.727
1613619933.618,-813.477,-833.984,-881.836,-1000.000
1613619933.622,-157.715,-164.062,-1000.000,-381.836
1613619933.626,-1000.000,-1000.000,16.113,-976.074
1613619933.642,162.598,-337.891,452.148,191.406
1613619933.646,-796.875,-932.617,-669.434,-1000.000
1613619933.650,656.738,698.730,-1000.000,-919.922
1613619933.654,-927.246,-933.594,-305.176,672.363
