timestamps,TP9,AF7,AF8,TP10
1613699756.087,84.961,-28.320,-56.152,3.418
1613699756.091,291.504,-35.645,-59.570,56.641
1613699756.095,313.477,-39.551,-59.082,104.980
1613699756.099,26.367,-40.039,-60.547,133.789
1613699756.103,-117.676,-39.062,-68.359,143.066
1613699756.107,0.977,-37.598,-66.895,175.781
1613699756.111,72.266,-28.809,-59.570,240.723
1613699756.114,-156.738,-17.090,-58.105,246.094
1613699756.118,-376.953,-22.461,-43.945,234.863
1613699756.122,-227.539,-24.902,-36.621,247.070
1613699756.126,-21.484,-19.043,-39.551,234.863
1613699756.130,-181.641,-17.578,-38.086,252.930
1613699756.132,-416.504,-14.648,-32.715,257.812
1613699756.136,-363.770,-14.648,-30.273,302.734
1613699756.140,-83.496,-11.719,-41.992,375.488
1613699756.144,-42.480,-3.906,-55.176,405.273
1613699756.148,-248.535,-0.488,-61.523,405.762
1613699756.152,-252.930,-1.953,-74.219,418.457
1613699756.156,-9.766,-6.348,-87.891,458.496
1613699756.159,132.324,-6.836,-82.520,492.676
1613699756.163,-22.949,-4.883,-73.242,486.328
1613699756.167,-72.754,-1.953,-68.848,488.281
1613699756.171,190.430,-1.465,-74.707,505.859
1613699756.175,458.008,4.395,-85.449,527.832
1613699756.179,324.707,7.812,-95.703,540.527
1613699756.183,89.844,16.113,-102.539,533.203
1613699756.187,147.949,29.297,-100.586,546.387
1613699756.191,387.207,39.551,-104.492,580.566
1613699756.195,335.449,44.434,-109.375,589.355
1613699756.199,45.898,48.828,-111.816,569.336
1613699756.203,93.262,54.688,-120.117,566.406
1613699756.206,415.527,51.270,-121.582,574.707
1613699756.210,475.586,51.758,-110.840,538.574
1613699756.214,258.789,53.223,-105.469,467.773
1613699756.218,258.789,44.922,-102.539,424.805
1613699756.222,464.355,36.621,-104.980,408.691
1613699756.238,574.707,23.438,-110.840,390.625
1613699756.242,401.855,10.254,-121.094,362.305
1613699756.246,229.004,3.418,-132.812,341.309
