timestamps,TP9,AF7,AF8,TP10
1613698183.722,-57.129,-20.508,-11.230,-20.508
1613698183.726,45.898,-22.461,-12.207,-28.809
1613698183.730,-3.906,-30.762,-19.531,-37.109
1613698183.734,-115.723,-31.250,-27.344,-40.039
1613698183.738,-95.703,-24.414,-33.691,-44.922
1613698183.742,3.906,-24.414,-36.621,-44.922
1613698183.746,11.719,-18.066,-30.273,-48.340
1613698183.749,-88.379,-15.137,-23.926,-58.105
1613698183.753,-96.191,-19.043,-24.902,-48.340
1613698183.757,9.766,-15.625,-24.414,-40.039
1613698183.761,42.480,-19.043,-30.762,-54.688
1613698183.765,-75.195,-28.320,-31.738,-50.293
1613698183.800,-134.277,-29.785,-31.738,-35.156
1613698183.804,-41.016,-28.320,-34.668,-39.062
1613698183.808,56.641,-32.715,-36.133,-43.945
1613698183.812,-24.414,-40.039,-41.504,-46.875
1613698183.816,-132.324,-36.621,-44.434,-43.457
1613698183.820,-85.938,-33.203,-44.922,-40.039
1613698183.824,29.785,-33.691,-45.898,-41.504
1613698183.827,3.906,-27.832,-41.504,-42.480
1613698183.831,-124.023,-33.203,-44.922,-39.551
1613698183.835,-99.121,-36.133,-50.781,-26.367
1613698183.839,25.879,-30.762,-44.434,-24.414
1613698183.843,15.137,-23.438,-47.852,-52.246
1613698183.803,-99.609,-21.973,-58.105,-54.199
1613698183.807,-108.887,-17.578,-48.828,-30.762
1613698183.811,-18.555,-13.184,-46.875,-34.668
1613698183.815,32.715,-14.648,-54.688,-42.480
1613698183.819,-71.289,-21.484,-56.641,-44.922
1613698183.823,-140.137,-25.879,-56.641,-43.457
1613698183.827,-50.293,-28.320,-52.246,-35.156
1613698183.830,40.527,-30.273,-49.805,-39.062
1613698183.834,-33.203,-35.156,-54.199,-51.758
1613698183.838,-129.883,-41.504,-60.059,-48.340
1613698183.842,-83.008,-35.645,-58.105,-45.898
1613698183.846,16.602,-29.297,-53.223,-40.527
1613698183.873,-5.371,-24.902,-42.969,-39.551
1613698183.877,-109.375,-28.320,-41.992,-46.875
1613698183.881,-96.680,-35.645,-43.457,-44.434
1613698183.885,20.996,-34.180,-43.945,-33.691
1613698183.889,27.832,-37.109,-49.805,-29.297
1613698183.893,-84.961,-41.016,-45.410,-35.645
1613698183.897,-92.285,-38.574,-50.293,-42.480
1613698183.900,-94.727,-38.086,-59.082,-42.480
1613698183.904,-109.863,-46.875,-65.430,-41.016
1613698183.908,-6.836,-52.246,-68.848,-35.645
1613698183.912,40.039,-42.969,-61.035,-47.363
1613698183.916,-73.242,-32.715,-49.316,-48.340
1613698183.917,-116.699,-29.785,-35.156,-32.227
1613698183.921,-4.395,-23.438,-29.785,-30.762
1613698183.925,34.668,-21.484,-33.691,-37.109
1613698183.929,-84.961,-33.203,-43.945,-37.109
1613698183.933,-108.398,-43.457,-49.805,-33.203
1613698183.937,7.324,-46.875,-55.176,-35.156
1613698183.941,46.387,-45.898,-57.617,-34.180
1613698183.944,-73.242,-42.480,-57.617,-22.461
1613698183.948,-131.348,-41.992,-61.523,-21.484
1613698183.952,-26.367,-41.504,-56.641,-38.086
1613698183.956,65.430,-39.062,-49.316,-40.527
1613698183.960,-31.250,-41.504,-49.316,-34.180
1613698183.962,-102.539,-38.574,-47.363,-25.879
1613698183.966,-24.902,-29.785,-40.039,-16.113
1613698183.970,65.918,-33.691,-39.551,-22.461
