timestamps,TP9,AF7,AF8,TP10
1613614628.611,-301.758,-142.090,-688.477,-85.938
1613614628.613,-1000.000,-1000.000,564.453,-851.562
1613614628.617,302.734,59.570,63.965,-84.961
1613614628.621,-763.672,-760.254,-1000.000,-1000.000
1613614628.625,184.082,197.266,-916.016,-206.055
1613614628.629,-1000.000,-1000.000,312.012,-889.160
1613614628.633,-255.371,-273.926,370.605,157.227
1613614628.637,-791.504,-806.152,-864.746,-1000.000
1613614628.640,261.719,407.227,-1000.000,-647.461
1613614628.644,-1000.000,-1000.000,5.371,-985.840
1613614628.648,-271.973,-461.914,549.805,458.496
1613614628.652,-849.609,-948.730,-518.555,-1000.000
1613614628.656,706.055,868.652,-1000.000,-1000.000
1613614628.658,-916.016,-670.898,-418.457,283.691
1613614628.662,-745.117,-985.352,676.270,955.078
1613614628.666,818.359,523.438,-106.445,-574.707
1613614628.670,-862.793,-804.688,-1000.000,-1000.000
1613614628.674,-150.391,-7.812,-712.402,-204.102
1613614628.678,-1000.000,-1000.000,616.699,-849.609
1613614628.682,91.309,-85.938,170.898,108.887
1613614628.685,-756.836,-772.461,-1000.000,-1000.000
1613614628.689,194.336,210.449,-967.285,-310.547
1613614628.693,-1000.000,-1000.000,206.543,-843.750
1613614628.697,-274.414,-274.414,404.785,244.629
1613614628.701,-801.758,-817.383,-778.809,-1000.000
1613614628.704,382.324,512.207,-1000.000,-786.621
1613614628.708,-1000.000,-1000.000,-157.227,860.352
1613614628.712,-393.555,-580.566,631.348,572.754
1613614628.716,-920.898,964.355,-401.367,-970.703
1613614628.720,865.723,-997.070,-1000.000,-1000.000
1613614628.724,-694.336,-444.336,-495.117,148.438
1613614628.728,-921.875,-1000.000,734.375,-923.340
1613614628.731,625.977,321.289,10.254,-358.887
1613614628.735,-816.895,-773.438,-1000.000,-1000.000
1613614628.739,-38.574,115.723,-786.133,-214.844
1613614628.743,-1000.000,-1000.000,539.062,-839.355
1613614628.747,-35.645,-203.613,179.688,232.910
1613614628.748,-764.648,-787.598,-1000.000,-1000.000
1613614628.752,204.590,247.070,-987.793,-454.590
1613614628.756,-1000.000,-1000.000,125.488,-885.254
1613614628.760,-276.367,-303.711,460.449,252.930
1613614628.764,-813.477,-843.750,-700.684,-1000.000
1613614628.768,496.582,625.977,-1000.000,-908.203
1613614628.772,-1000.000,-995.117,-153.320,687.988
1613614628.775,-529.297,-715.332,671.387,677.734
1613614628.779,993.164,840.332,-319.824,-910.156
1613614628.783,997.070,-898.926,-1000.000,-1000.000
1613614628.787,-470.703,-250.000,-640.137,14.160
1613614628.791,-1000.000,-1000.000,599.609,-840.820
1613614628.808,398.926,143.555,43.945,-126.953
1613614628.812,-777.832,-762.207,-1000.000,-1000.000
1613614628.816,81.543,175.781,-875.000,-224.121
1613614628.820,-1000.000,-1000.000,387.207,-832.031
1613614628.824,-152.344,-263.672,333.496,245.605
1613614628.828,-776.855,-800.781,-896.973,-1000.000
1613614628.832,214.844,326.172,-1000.000,-555.664
1613614628.835,-1000.000,-1000.000,5.859,-928.223
1613614628.839,-274.902,-388.672,564.453,357.422
1613614628.843,-829.102,-900.391,-522.461,-1000.000
1613614628.847,606.934,769.043,-1000.000,-1000.000
1613614628.851,-1000.000,-822.266,-355.957,482.422
1613614628.853,-645.508,-870.117,709.473,859.375
1613614628.857,908.203,669.922,-148.926,-697.754
1613614628.861,-901.367,-834.961,-1000.000,-1000.000
1613614628.865,-259.766,-91.797,-717.773,-162.109
1613614628.869,-1000.000,-1000.000,583.984,-848.145
1613614628.873,187.500,-1.953,133.301,24.902
1613614628.877,-756.836,-765.137,-1000.000,-1000.000
1613614628.880,187.500,202.637,-929.199,-233.887
1613614628.884,-1000.000,-1000.000,312.988,-826.172
1613614628.888,-270.996,-273.926,405.273,244.141
1613614628.892,-797.852,-809.082,-823.242,-1000.000
1613614628.896,301.270,429.199,-1000.000,-647.949
1613614628.899,-1000.000,-1000.000,-77.637,-983.887
1613614628.903,-336.426,-500.000,586.426,469.727
1613614628.907,-877.930,-977.051,-465.332,-1000.000
1613614628.911,755.371,916.016,-1000.000,-1000.000
1613614628.915,-857.422,-597.656,-445.801,231.934
1613614628.919,-819.824,-1000.000,697.754,-958.496
1613614628.923,744.629,455.078,-67.871,-436.523
1613614628.926,-845.703,-792.969,-1000.000,-1000.000
1613614628.930,-134.277,34.180,-710.449,-207.031
1613614628.934,-1000.000,-1000.000,573.730,-843.750
1613614628.938,75.684,-114.258,132.812,139.160
1613614628.942,-756.836,-774.414,-1000.000,-1000.000
1613614628.945,194.824,215.332,-970.215,-344.727
1613614628.949,-1000.000,-1000.000,196.777,-851.562
1613614628.953,-276.367,-274.414,408.203,246.094
1613614628.957,-806.152,-824.219,-772.461,-1000.000
1613614628.961,432.617,562.500,-1000.000,-816.895
1613614628.965,-1000.000,-1000.000,-145.996,814.941
1613614628.969,-461.426,-619.141,666.504,623.047
1613614628.972,-946.289,937.012,-355.469,-937.500
1613614628.976,885.254,-968.262,-1000.000,-1000.000
1613614628.980,-668.457,-379.883,-561.035,72.266
1613614628.984,-968.262,-1000.000,651.367,-852.539
1613614628.988,562.012,243.164,17.090,-206.055
1613614628.988,-805.176,-769.531,-1000.000,-1000.000
1613614628.992,-5.859,134.766,-843.262,-218.750
1613614628.996,-1000.000,-1000.000,470.703,-833.008
1613614629.000,-74.219,-237.305,268.066,244.141
1613614629.004,-769.043,-795.410,-997.070,-1000.000
1613614629.008,208.008,261.230,-1000.000,-459.473
1613614629.012,-1000.000,-1000.000,68.359,-881.348
1613614629.015,-276.367,-328.613,579.102,293.945
1613614629.019,-816.406,-866.699,-527.344,-1000.000
1613614629.023,527.832,695.312,-1000.000,-989.746
1613614629.027,-1000.000,-932.617,-247.070,567.871
1613614629.031,-539.551,-727.051,684.082,718.750
1613614629.033,956.055,820.312,-289.551,-859.863
1613614629.037,-914.062,-861.816,-1000.000,-1000.000
1613614629.041,-305.664,-139.648,-641.113,-87.891
1613614629.045,-1000.000,-1000.000,605.957,-857.910
1613614629.049,369.629,130.859,55.176,-105.469
1613614629.053,-763.184,-754.883,-1000.000,-1000.000
1613614629.057,174.805,191.406,-795.410,-223.145
1613614629.060,-1000.000,-1000.000,548.828,-833.496
1613614629.064,-166.504,-270.996,317.383,245.605
1613614629.068,-769.043,-802.246,-915.527,-1000.000
1613614629.072,226.562,393.555,-1000.000,-632.812
1613614629.076,-1000.000,-1000.000,-37.598,-973.633
1613614629.078,-273.926,-401.855,522.949,359.863
1613614629.082,-840.332,-916.992,-575.195,-1000.000
1613614629.086,663.086,837.891,-1000.000,-1000.000
1613614629.090,-981.934,-710.449,-376.465,275.391
1613614629.094,-676.270,-941.406,703.613,958.008
1613614629.098,884.766,583.008,-119.629,-573.730
1613614629.102,-876.465,-812.988,-1000.000,-1000.000
1613614629.105,-187.988,-41.016,-726.074,-196.289
1613614629.109,-1000.000,-1000.000,553.711,-859.863
1613614629.113,181.152,-16.602,125.000,35.156
1613614629.117,-752.441,-763.184,-1000.000,-1000.000
1613614629.121,187.012,203.125,-947.754,-308.594
1613614629.124,-1000.000,-1000.000,231.934,-851.562
1613614629.128,-275.879,-275.879,427.246,247.559
1613614629.132,-800.781,-815.918,-746.094,-1000.000
1613614629.136,399.902,523.926,-1000.000,-785.156
1613614629.140,-1000.000,-1000.000,-148.438,865.234
1613614629.144,-361.328,-509.277,662.598,506.836
1613614629.148,-907.227,-998.047,-367.676,-1000.000
1613614629.151,866.699,-999.512,-1000.000,-1000.000
1613614629.155,-711.914,-451.660,-475.586,149.414
1613614629.159,-844.727,-1000.000,705.566,-940.430
1613614629.163,726.074,430.664,-53.711,-393.555
1613614629.167,-824.707,-780.273,-1000.000,-1000.000
1613614629.183,-48.828,110.352,-781.738,-206.543
1613614629.187,-1000.000,-1000.000,533.203,-847.168
1613614629.191,62.012,-157.227,185.059,143.066
1613614629.195,-751.953,-775.391,-1000.000,-1000.000
1613614629.199,194.336,238.770,-979.004,-441.406
1613614629.203,-1000.000,-1000.000,202.148,-892.090
1613614629.207,-277.832,-274.902,486.328,255.371
1613614629.210,-812.500,-834.961,-701.660,-1000.000
1613614629.214,502.441,635.254,-1000.000,-908.203
1613614629.218,-1000.000,-999.023,-152.344,690.918
1613614629.222,-481.934,-631.836,670.898,654.785
1613614629.226,-983.887,913.086,-352.539,-919.434
1613614629.228,999.023,-906.250,-1000.000,-1000.000
1613614629.232,-498.047,-244.629,-598.145,-1.465
1613614629.236,-981.445,-1000.000,626.465,-864.258
1613614629.240,553.711,226.562,14.160,-197.754
1613614629.244,-791.992,-759.766,-1000.000,-1000.000
1613614629.248,72.266,169.434,-833.984,-217.773
1613614629.252,-1000.000,-1000.000,470.215,-836.426
1613614629.255,-96.191,-247.070,300.781,246.582
1613614629.259,-766.113,-793.457,-949.219,-1000.000
1613614629.263,208.496,323.242,-1000.000,-551.758
1613614629.267,-1000.000,-1000.000,34.180,-928.711
1613614629.271,-275.879,-324.219,489.746,301.270
1613614629.273,-828.125,-879.883,-625.000,-1000.000
1613614629.277,616.699,781.250,-1000.000,-1000.000
1613614629.281,-1000.000,-815.918,-327.148,487.305
1613614629.285,-583.984,-795.898,713.379,824.707
1613614629.289,946.289,762.695,-166.992,-743.164
1613614629.293,-903.809,-845.703,-1000.000,-1000.000
1613614629.297,-281.250,-95.215,-668.457,-147.461
1613614629.300,-1000.000,-1000.000,605.469,-868.164
1613614629.304,329.590,60.547,127.441,-77.637
1613614629.308,-765.625,-756.836,-1000.000,-1000.000
1613614629.312,183.594,196.289,-924.316,-223.145
1613614629.316,-1000.000,-1000.000,336.914,-833.008
1613614629.318,-259.766,-273.926,344.238,245.117
1613614629.322,-792.969,-806.641,-889.648,-1000.000
1613614629.326,260.254,406.738,-1000.000,-647.461
1613614629.330,-1000.000,-1000.000,-53.223,-983.398
1613614629.334,-272.461,-467.773,577.637,458.496
1613614629.338,-846.191,-948.242,-503.906,-1000.000
1613614629.342,692.383,860.352,-1000.000,-1000.000
1613614629.345,-931.152,-683.594,-336.426,283.203
1613614629.349,-743.164,-983.398,755.859,955.078
1613614629.353,816.895,520.996,-132.324,-574.219
1613614629.357,-861.816,-802.734,-1000.000,-1000.000
1613614629.361,-151.855,0.488,-744.629,-200.684
1613614629.364,-1000.000,-1000.000,544.922,-854.980
1613614629.368,100.586,-76.172,131.836,78.125
1613614629.372,-756.348,-769.531,-1000.000,-1000.000
1613614629.376,193.359,208.496,-962.891,-323.730
1613614629.380,-1000.000,-1000.000,202.148,-852.051
1613614629.384,-274.414,-274.902,430.176,248.047
1613614629.388,-801.270,-816.895,-770.996,-1000.000
1613614629.391,381.348,511.230,-1000.000,-786.133
1613614629.395,-1000.000,-1000.000,-87.891,860.352
1613614629.399,-384.766,-578.125,613.281,572.754
1613614629.403,-916.992,965.820,-408.691,-971.191
1613614629.407,863.770,-997.559,-1000.000,-1000.000
1613614629.408,-693.359,-444.336,-520.020,146.973
1613614629.412,-924.805,-1000.000,667.480,-918.945
1613614629.416,622.559,319.336,-26.367,-351.074
1613614629.420,-816.406,-773.926,-1000.000,-1000.000
1613614629.424,-39.062,111.328,-793.457,-215.332
1613614629.428,-1000.000,-1000.000,504.883,-838.867
1613614629.432,-35.645,-203.613,264.160,234.375
1613614629.435,-764.648,-787.598,-966.309,-1000.000
1613614629.439,204.590,250.488,-1000.000,-454.590
1613614629.443,-1000.000,-1000.000,99.609,-884.766
1613614629.447,-276.855,-297.852,455.566,252.930
1613614629.451,-814.453,-845.703,-688.477,-1000.000
1613614629.453,515.137,649.414,-1000.000,-908.203
1613614629.457,-1000.000,-976.562,-221.680,687.988
1613614629.461,-516.113,-709.473,698.730,676.758
1613614629.465,999.512,845.215,-283.203,-904.297
1613614629.469,-991.211,-882.812,-1000.000,-1000.000
1613614629.473,-507.812,-275.879,-557.617,36.133
1613614629.477,-971.191,-1000.000,586.426,-948.730
1613614629.480,586.914,327.637,-99.609,-308.594
1613614629.484,-795.898,-779.297,-1000.000,-1000.000
1613614629.488,87.402,174.316,-840.820,-222.168
1613614629.492,-1000.000,-1000.000,458.008,-837.891
1613614629.496,-153.320,-263.672,307.129,245.605
1613614629.498,-775.879,-800.293,-934.570,-1000.000
1613614629.502,214.844,330.566,-1000.000,-555.176
1613614629.506,-1000.000,-1000.000,14.160,-927.734
1613614629.510,-274.414,-383.301,506.836,357.422
1613614629.514,-829.102,-897.949,-589.355,-1000.000
1613614629.518,609.375,769.531,-1000.000,-1000.000
1613614629.522,-1000.000,-819.824,-316.406,480.957
1613614629.525,-645.508,-871.582,697.754,862.793
1613614629.529,908.691,668.945,-179.688,-693.848
1613614629.533,-901.367,-834.961,-1000.000,-1000.000
1613614629.537,-259.766,-97.656,-698.730,-151.367
1613614629.541,-1000.000,-1000.000,577.637,-848.145
