timestamps,TP9,AF7,AF8,TP10
1613613844.771,-754.883,-771.484,-1000.000,-1000.000
1613613844.775,548.828,622.070,-768.555,-263.184
1613613844.779,-778.809,-824.219,554.199,-926.758
1613613844.783,275.879,30.273,561.035,245.117
1613613844.787,-776.367,-798.340,-858.887,-1000.000
1613613844.791,821.777,854.980,-1000.000,-877.441
1613613844.795,-688.965,-703.125,302.734,749.023
1613613844.798,-380.859,-732.422,684.570,880.371
1613613844.802,-901.855,933.594,-727.539,-867.676
1613613844.806,968.262,-937.500,-1000.000,-1000.000
1613613844.810,-604.004,-510.742,-127.930,681.152
1613613844.814,-887.695,-1000.000,710.938,988.281
1613613844.814,734.375,579.590,-464.355,-647.949
1613613844.818,-787.598,-755.371,-1000.000,-1000.000
1613613844.822,-11.719,134.766,-528.809,276.855
1613613844.826,-916.992,-912.598,607.910,-894.531
1613613844.830,505.859,428.711,57.129,-327.637
1613613844.834,-765.137,-779.785,-1000.000,-1000.000
1613613844.838,642.578,721.191,-798.340,-570.312
1613613844.841,-759.766,-770.996,517.090,968.750
1613613844.845,145.508,-172.363,562.988,482.910
1613613844.849,-776.855,-832.520,-820.801,-1000.000
1613613844.853,837.891,875.977,-1000.000,-959.473
1613613844.857,-703.613,-701.660,149.414,662.598
1613613844.874,-565.918,-855.469,728.027,966.309
1613613844.878,-993.164,825.195,-621.582,-785.156
1613613844.882,-946.777,-872.559,-1000.000,-1000.000
1613613844.886,-474.609,-423.340,-215.820,686.035
1613613844.890,-963.379,-1000.000,719.727,984.375
1613613844.894,617.188,552.246,-268.066,-643.555
1613613844.898,-751.465,-755.859,-1000.000,-1000.000
1613613844.901,232.422,352.539,-650.879,192.383
1613613844.905,-836.426,-894.043,574.707,-866.211
1613613844.909,476.074,293.945,338.379,-203.125
1613613844.913,-771.973,-784.668,-945.801,-1000.000
1613613844.917,725.098,796.875,-965.820,-669.434
1613613844.919,-719.238,-727.051,424.316,914.062
1613613844.923,24.414,-421.387,665.039,689.941
1613613844.927,-783.203,-904.785,-772.461,-991.211
1613613844.931,853.027,928.223,-1000.000,-985.840
1613613844.935,-708.496,-672.852,23.926,662.598
1613613844.939,-745.605,-916.504,723.145,-988.770
1613613844.943,904.297,731.445,-580.566,-690.430
1613613844.946,-873.047,-814.941,-1000.000,-1000.000
1613613844.950,-354.980,-255.859,-313.965,570.312
1613613844.954,-998.047,-975.098,711.914,-962.891
1613613844.958,539.551,534.668,-195.312,-532.227
1613613844.962,-744.629,-762.207,-1000.000,-1000.000
1613613844.965,452.637,519.043,-684.570,-104.492
1613613844.969,-805.176,-864.258,573.242,-896.484
1613613844.973,376.953,171.875,386.230,23.438
1613613844.977,-779.297,-789.062,-919.922,-1000.000
1613613844.981,705.078,736.328,-901.367,-686.035
1613613844.985,-702.637,-739.746,426.758,861.328
1613613844.989,-170.410,-614.258,659.180,775.391
1613613844.992,-841.797,995.605,-743.652,-926.270
1613613844.996,910.156,-1000.000,-1000.000,-1000.000
1613613845.000,-666.016,-602.539,-52.734,680.664
1613613845.004,-826.172,-979.980,727.539,991.699
1613613845.008,809.570,625.977,-502.930,-674.805
1613613845.011,-922.363,-791.016,-1000.000,-955.078
1613613845.015,-201.172,-61.523,-420.410,529.785
1613613845.019,-943.848,-944.336,643.066,-947.754
1613613845.023,518.066,496.094,-21.484,-414.062
1613613845.027,-751.465,-774.414,-1000.000,-1000.000
1613613845.031,453.125,543.945,-679.199,-237.305
1613613845.035,-825.195,-850.586,565.918,-917.480
1613613845.038,268.066,3.906,511.719,240.234
1613613845.042,-782.715,-811.523,-831.055,-1000.000
1613613845.046,824.707,861.816,-1000.000,-875.977
1613613845.050,-690.918,-701.172,204.590,740.723
1613613845.054,-376.953,-778.809,699.219,915.039
