timestamps,TP9,AF7,AF8,TP10
1612999602.152,935.547,991.699,-861.328,-708.496
1612999602.156,-595.215,-505.371,-474.609,874.512
1612999602.160,-1000.000,-1000.000,-142.090,-844.727
1612999602.164,-13.672,-194.824,-489.746,-20.020
1612999602.168,-813.477,-849.609,-869.141,-1000.000
1612999602.172,5.859,93.262,-602.051,114.746
1612999602.176,-1000.000,-1000.000,-138.184,-744.141
1612999602.179,-236.816,-356.934,-201.660,189.941
1612999602.183,-823.242,-863.281,-716.797,-1000.000
1612999602.187,244.629,250.000,-753.418,-277.832
1612999602.191,-1000.000,-1000.000,-234.375,-808.105
1612999602.195,-561.523,-823.730,-171.875,515.625
1612999602.196,-938.477,803.223,-692.383,-1000.000
1612999602.200,547.363,594.238,-837.402,-388.184
1612999602.204,-1000.000,-953.613,-299.805,-941.406
1612999602.208,-1000.000,-1000.000,-67.871,992.676
1612999602.212,438.477,93.262,-571.289,-522.949
1612999602.216,-940.918,-912.598,-879.395,-861.816
1612999602.220,-414.062,-315.918,-440.918,706.543
1612999602.223,-1000.000,-1000.000,77.148,-805.664
1612999602.227,-121.582,-213.379,-340.332,106.934
1612999602.231,-807.129,-836.914,-885.742,-1000.000
1612999602.235,200.684,208.984,-592.773,-19.043
1612999602.239,-1000.000,-1000.000,-145.996,-748.047
1612999602.241,-259.277,-418.945,-336.914,198.242
1612999602.245,-811.035,-872.559,-779.785,-1000.000
1612999602.249,240.234,278.320,-729.492,-276.855
1612999602.253,-1000.000,-1000.000,-277.344,-820.801
1612999602.257,-603.027,-915.527,-235.352,589.844
1612999602.261,-971.680,663.086,-672.363,-1000.000
1612999602.265,629.883,723.145,-760.254,-485.352
1612999602.268,-923.828,-850.098,-322.266,990.234
1612999602.272,-1000.000,-1000.000,-189.941,-905.762
1612999602.276,221.191,-3.418,-572.266,-312.500
1612999602.280,-824.707,-854.004,-861.328,-998.535
1612999602.284,-165.527,-147.949,-520.508,525.391
1612999602.288,-1000.000,-1000.000,-143.066,-775.391
1612999602.292,-226.562,-223.633,-396.973,171.387
1612999602.296,-813.477,-824.219,-801.758,-1000.000
1612999602.300,215.332,226.562,-664.551,-100.098
1612999602.304,-1000.000,-1000.000,-241.699,-812.988
1612999602.308,-178.223,-437.500,-221.680,208.008
1612999602.312,-819.336,-925.293,-660.645,-1000.000
1612999602.315,332.031,370.117,-765.137,-281.250
1612999602.319,-1000.000,-1000.000,-285.645,-854.980
1612999602.323,-766.113,-1000.000,-130.859,753.906
1612999602.327,857.422,440.430,-580.078,-893.555
1612999602.331,791.016,869.141,-840.332,-602.539
1612999602.347,-769.531,-687.500,-415.039,933.594
1612999602.351,-1000.000,-1000.000,-106.934,-864.746
1612999602.355,106.445,-119.141,-469.238,-151.367
1612999602.359,-798.828,-841.797,-849.609,-1000.000
1612999602.363,-7.324,5.859,-589.844,357.910
1612999602.367,-1000.000,-1000.000,11.719,-755.371
1612999602.371,-238.770,-232.910,-120.605,177.246
1612999602.374,-815.918,-824.219,-819.336,-1000.000
1612999602.378,238.281,243.652,-700.195,-212.891
1612999602.382,-1000.000,-1000.000,-176.270,-779.297
1612999602.386,-369.629,-599.121,-235.352,406.738
1612999602.390,-845.703,-961.914,-740.234,-1000.000
1612999602.391,442.871,482.910,-765.137,-285.156
1612999602.395,-1000.000,-1000.000,-285.156,-881.348
1612999602.399,-808.594,-1000.000,-173.340,876.465
1612999602.403,820.312,367.676,-618.164,-720.703
1612999602.407,877.930,895.996,-774.414,-707.520
1612999602.411,-712.891,-699.219,-323.242,871.582
1612999602.415,-1000.000,-1000.000,-57.129,-838.867
1612999602.418,62.988,-163.574,-428.223,-15.137
1612999602.422,-792.969,-844.238,-821.289,-1000.000
1612999602.426,99.121,118.652,-441.895,163.574
1612999602.430,-1000.000,-1000.000,-117.676,-739.746
1612999602.434,-250.977,-331.055,-369.141,185.059
1612999602.436,-814.941,-849.121,-780.762,-1000.000
1612999602.440,243.164,248.047,-707.031,-280.273
1612999602.444,-1000.000,-1000.000,-257.324,-803.711
1612999602.448,-509.766,-775.391,-251.465,522.461
1612999602.452,-987.305,779.297,-677.734,-1000.000
1612999602.456,519.043,544.922,-767.090,-297.363
1612999602.460,-996.582,-942.383,-314.941,-937.988
1612999602.463,-922.363,-1000.000,-107.910,963.867
1612999602.467,578.125,221.191,-478.516,-562.988
1612999602.471,-857.910,-869.141,-796.387,-854.980
1612999602.475,-241.699,-257.324,-519.531,716.309
1612999602.479,-1000.000,-1000.000,-137.207,-806.152
1612999602.482,-34.668,-213.867,-398.926,53.711
1612999602.486,-780.762,-831.055,-833.008,-1000.000
1612999602.490,209.473,216.797,-648.926,54.688
1612999602.494,-1000.000,-1000.000,-168.457,-742.676
1612999602.498,-264.160,-387.207,-231.934,192.383
1612999602.502,-808.594,-856.934,-739.258,-1000.000
1612999602.506,239.746,269.531,-733.887,-277.832
1612999602.509,-1000.000,-1000.000,-169.434,-824.219
1612999602.513,-569.824,-902.344,-0.488,615.234
1612999602.517,-950.684,683.594,-613.281,-1000.000
1612999602.521,623.047,708.496,-843.262,-490.723
1612999602.525,-921.387,-862.305,-320.801,992.188
1612999602.527,-1000.000,-1000.000,-118.652,-905.273
1612999602.531,229.004,0.977,-579.102,-315.918
1612999602.535,-829.590,-856.445,-864.746,-987.793
1612999602.539,-182.129,-155.762,-481.934,541.992
1612999602.543,-1000.000,-1000.000,-127.930,-775.391
1612999602.547,-223.145,-221.680,-394.531,166.992
1612999602.551,-821.289,-830.566,-830.566,-1000.000
1612999602.554,233.887,244.629,-582.031,-84.961
1612999602.558,-1000.000,-1000.000,-106.934,-752.930
1612999602.562,-266.113,-495.117,-309.082,203.125
1612999602.566,-809.082,-898.926,-763.672,-1000.000
1612999602.570,338.867,367.676,-753.906,-272.949
1612999602.571,-1000.000,-1000.000,-317.383,-837.402
1612999602.575,-656.250,-1000.000,-266.113,661.133
1612999602.579,976.562,501.465,-660.645,-996.582
1612999602.583,769.531,848.145,-796.387,-584.961
