timestamps,TP9,AF7,AF8,TP10
1613619880.631,-807.129,-828.613,-572.754,-1000.000
1613619880.635,433.594,431.152,-1000.000,-787.109
1613619880.639,-1000.000,-1000.000,-348.145,849.609
1613619880.643,-473.145,-725.586,636.230,660.645
1613619880.647,-977.051,862.793,-175.293,-917.480
1613619880.651,960.938,932.129,-1000.000,-1000.000
1613619880.655,-559.082,-563.477,-700.684,124.512
1613619880.658,-975.098,-1000.000,513.672,-846.680
1613619880.662,553.711,123.535,100.098,-211.426
1613619880.666,-790.527,-787.109,-1000.000,-1000.000
1613619880.670,62.988,45.898,-924.805,-219.238
1613619880.674,-1000.000,-1000.000,223.633,-833.008
1613619880.676,-48.828,-245.605,422.363,244.141
1613619880.680,-757.324,-812.988,-721.191,-1000.000
1613619880.684,202.637,237.793,-1000.000,-461.426
1613619880.688,-1000.000,-1000.000,-114.258,-882.324
1613619880.692,-276.855,-394.043,589.355,341.309
1613619880.696,-818.359,-863.770,-437.500,-1000.000
1613619880.700,533.203,530.762,-1000.000,-913.574
1613619880.703,-1000.000,-1000.000,-446.289,662.598
1613619880.707,-576.660,-909.668,693.359,814.453
1613619880.711,965.332,625.977,-25.879,-760.254
1613619880.715,-974.609,-953.125,-1000.000,-1000.000
1613619880.719,-414.062,-405.762,-762.695,10.254
1613619880.722,-1000.000,-1000.000,489.258,-822.266
1613619880.726,322.266,-23.438,147.949,-45.898
1613619880.730,-763.672,-792.480,-1000.000,-1000.000
1613619880.734,144.531,142.578,-957.031,-213.379
1613619880.738,-1000.000,-1000.000,141.602,-882.324
1613619880.742,-159.668,-254.883,425.293,156.250
1613619880.746,-804.199,-812.500,-660.156,-1000.000
1613619880.749,225.586,244.141,-1000.000,-535.645
1613619880.753,-1000.000,-1000.000,-118.164,-920.898
1613619880.757,-272.461,-535.156,642.090,449.219
1613619880.761,-830.566,-940.918,-364.746,-1000.000
1613619880.765,616.699,633.789,-1000.000,-1000.000
1613619880.768,-1000.000,-937.988,-500.488,465.332
1613619880.772,-666.992,-1000.000,598.145,948.730
1613619880.776,883.789,415.527,-26.367,-586.426
1613619880.780,-880.371,-852.539,-1000.000,-1000.000
1613619880.784,-189.453,-218.262,-825.684,-109.863
1613619880.788,-1000.000,-1000.000,439.453,-823.730
1613619880.792,157.227,-135.254,238.281,73.730
1613619880.795,-754.395,-801.270,-950.684,-1000.000
1613619880.799,188.965,213.379,-1000.000,-242.188
1613619880.803,-1000.000,-1000.000,23.926,-821.777
1613619880.807,-272.949,-265.625,489.746,243.164
1613619880.811,-799.316,-810.059,-599.609,-1000.000
1613619880.812,333.008,323.242,-1000.000,-649.414
1613619880.816,-1000.000,-1000.000,-250.488,-990.723
1613619880.820,-376.953,-639.160,678.711,551.758
1613619880.824,-893.555,971.680,-210.449,-979.980
1613619880.828,777.344,776.855,-1000.000,-1000.000
1613619880.832,-829.590,-764.648,-625.000,241.211
1613619880.836,-848.145,-1000.000,582.520,-890.625
1613619880.839,729.980,238.770,95.703,-351.074
1613619880.843,-890.625,-866.211,-1000.000,-1000.000
1613619880.847,-156.738,-174.805,-882.324,-128.906
1613619880.851,-1000.000,-1000.000,353.516,-843.262
1613619880.855,0.488,-219.727,358.887,236.816
1613619880.856,-764.648,-817.383,-852.051,-1000.000
1613619880.860,201.660,234.863,-1000.000,-344.238
1613619880.864,-1000.000,-1000.000,-14.648,-839.844
1613619880.868,-275.391,-328.613,534.180,244.141
1613619880.872,-807.129,-832.520,-548.828,-1000.000
1613619880.876,433.594,429.199,-1000.000,-786.133
1613619880.880,-1000.000,-1000.000,-276.855,849.121
1613619880.883,-474.609,-783.203,720.703,660.645
1613619880.887,-972.168,800.781,-167.480,-918.945
1613619880.891,945.312,933.105,-1000.000,-1000.000
1613619880.895,-576.660,-573.730,-686.523,122.070
1613619880.899,-986.328,-1000.000,524.414,-836.426
1613619880.902,533.691,93.750,83.496,-172.363
1613619880.906,-793.945,-791.992,-1000.000,-1000.000
1613619880.910,70.801,41.016,-945.801,-222.656
1613619880.914,-1000.000,-1000.000,210.449,-831.055
1613619880.918,-127.930,-244.141,402.832,244.141
1613619880.922,-772.461,-814.941,-743.164,-1000.000
1613619880.926,212.402,239.258,-1000.000,-462.402
1613619880.929,-1000.000,-1000.000,-112.793,-882.324
1613619880.933,-275.391,-426.270,562.988,352.051
1613619880.937,-820.312,-877.441,-459.473,-1000.000
1613619880.941,551.758,543.945,-1000.000,-915.527
1613619880.945,-1000.000,-1000.000,-434.082,663.574
1613619880.947,-573.730,-913.574,625.488,813.477
1613619880.951,950.195,610.840,-72.266,-758.789
1613619880.955,-929.199,-929.688,-1000.000,-1000.000
1613619880.959,-316.406,-365.723,-786.621,-9.766
1613619880.963,-1000.000,-1000.000,462.402,-821.777
1613619880.967,285.156,-29.297,196.289,-24.902
1613619880.971,-764.648,-790.039,-986.328,-1000.000
1613619880.974,185.547,161.621,-997.070,-233.887
1613619880.978,-1000.000,-1000.000,122.070,-825.684
1613619880.982,-267.090,-258.301,470.215,244.629
1613619880.986,-795.898,-811.035,-660.156,-1000.000
1613619880.990,227.539,259.277,-1000.000,-559.570
